,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.542,0.785,0.3641,0.31,0.2683,0.7946,0.6057,0.9578,0.6446,0.2537
0,1,0.5322,0.7779,0.3881,0.3092,0.2808,0.7909,0.6146,0.9431,0.6027,0.2862
0,2,0.5426,0.7895,0.3826,0.3096,0.2781,0.792,0.6125,0.947,0.6129,0.278
0,3,0.4953,0.771,0.3899,0.3082,0.2812,0.7901,0.6153,0.9411,0.5973,0.2894
0,4,0.5267,0.7778,0.3802,0.3235,0.2834,0.7973,0.6126,0.9568,0.6522,0.2683
1,0,0.5127,0.7749,0.3731,0.2903,0.2634,0.786,0.6075,0.9402,0.5808,0.2748
1,1,0.5381,0.7819,0.4209,0.3266,0.3065,0.7916,0.6293,0.9318,0.5912,0.3268
1,2,0.516,0.7661,0.3653,0.2914,0.2601,0.7879,0.6047,0.9461,0.5956,0.2634
1,3,0.5419,0.7917,0.4084,0.3129,0.2929,0.7882,0.6231,0.9308,0.5791,0.3154
1,4,0.5285,0.785,0.3929,0.316,0.2868,0.7928,0.617,0.9446,0.6117,0.2894
2,0,0.5356,0.779,0.3907,0.316,0.2856,0.7931,0.6161,0.9461,0.6154,0.2862
2,1,0.5256,0.7753,0.3849,0.3097,0.2794,0.7916,0.6134,0.9456,0.6092,0.2813
2,2,0.5157,0.7822,0.3835,0.3091,0.2784,0.7916,0.6129,0.9461,0.6099,0.2797
2,3,0.5046,0.7727,0.3756,0.3067,0.273,0.792,0.6097,0.9495,0.6171,0.2699
2,4,0.5187,0.7795,0.3783,0.2982,0.2702,0.7882,0.6101,0.9421,0.5917,0.278
