,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5861,0.8032,0.479,0.3804,0.3655,0.8033,0.6591,0.9279,0.6202,0.3902
0,1,0.5692,0.7831,0.478,0.3635,0.3548,0.7943,0.6589,0.9112,0.58,0.4065
0,2,0.5737,0.7895,0.4761,0.3681,0.3569,0.7977,0.6577,0.9186,0.5951,0.3967
0,3,0.5732,0.7883,0.4803,0.3767,0.364,0.8011,0.6599,0.923,0.6085,0.3967
0,4,0.574,0.7954,0.4535,0.3573,0.3398,0.7984,0.6457,0.9304,0.6099,0.361
1,0,0.5603,0.7936,0.4657,0.3674,0.3515,0.8003,0.652,0.9284,0.6127,0.3756
1,1,0.5789,0.7882,0.5043,0.3952,0.3863,0.8037,0.6735,0.9161,0.6078,0.4309
1,2,0.5622,0.7856,0.4226,0.3375,0.3133,0.7962,0.6306,0.9392,0.6149,0.322
1,3,0.5824,0.7879,0.4926,0.3926,0.3792,0.806,0.6665,0.9264,0.625,0.4065
1,4,0.5704,0.7958,0.4995,0.3924,0.3824,0.8037,0.6707,0.9186,0.6103,0.4228
2,0,0.5787,0.7883,0.4883,0.3839,0.372,0.8026,0.6643,0.922,0.6112,0.4065
2,1,0.57,0.7923,0.4622,0.3633,0.3474,0.7992,0.6501,0.9279,0.609,0.3724
2,2,0.5701,0.7921,0.4647,0.3724,0.3537,0.8029,0.6514,0.9338,0.6271,0.3691
2,3,0.5747,0.7941,0.4804,0.3754,0.3632,0.8003,0.66,0.9215,0.6049,0.3984
2,4,0.5653,0.7857,0.4931,0.3936,0.38,0.8063,0.6667,0.9269,0.6266,0.4065
