,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5105,0.7655,0.4111,0.3138,0.2961,0.7916,0.6253,0.9287,0.5685,0.322
0,1,0.4744,0.7528,0.3167,0.2541,0.2188,0.7863,0.5855,0.9519,0.5707,0.2192
0,2,0.5227,0.7748,0.4441,0.3338,0.3229,0.792,0.6418,0.9159,0.5607,0.3676
0,3,0.5256,0.7759,0.4651,0.3603,0.3486,0.7999,0.653,0.921,0.5873,0.3851
0,4,0.4922,0.7538,0.3753,0.2896,0.2656,0.7892,0.609,0.9377,0.5678,0.2803
1,0,0.5222,0.7807,0.4441,0.3338,0.3229,0.792,0.6418,0.9159,0.5607,0.3676
1,1,0.5055,0.7619,0.4164,0.3207,0.3025,0.7936,0.628,0.9301,0.5763,0.3259
1,2,0.5118,0.7641,0.4573,0.3453,0.3358,0.794,0.6489,0.9136,0.5649,0.3841
1,3,0.4874,0.7648,0.4059,0.3069,0.2898,0.7896,0.6227,0.9272,0.5607,0.3181
1,4,0.5245,0.7753,0.4471,0.341,0.3287,0.7951,0.6434,0.9202,0.5727,0.3666
2,0,0.5175,0.7777,0.4503,0.3348,0.3261,0.7903,0.6451,0.91,0.5521,0.3802
2,1,0.4974,0.7622,0.4152,0.3073,0.294,0.787,0.6268,0.919,0.5468,0.3346
2,2,0.5152,0.7658,0.425,0.3267,0.31,0.7942,0.6322,0.9278,0.5764,0.3366
2,3,0.4985,0.7653,0.398,0.3101,0.2877,0.7931,0.6195,0.9363,0.581,0.3026
2,4,0.5262,0.7759,0.4552,0.3455,0.335,0.7949,0.6477,0.9162,0.5691,0.3792
