,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5264,0.7707,0.3862,0.3281,0.2937,0.8108,0.617,0.9556,0.6305,0.2784
0,1,0.5284,0.7799,0.4336,0.3618,0.3363,0.8158,0.6389,0.9479,0.6327,0.3298
0,2,0.5321,0.7818,0.4091,0.3462,0.315,0.8139,0.6273,0.9532,0.6367,0.3014
0,3,0.5302,0.7776,0.4106,0.3468,0.3161,0.8139,0.628,0.9527,0.6357,0.3032
0,4,0.542,0.7867,0.4208,0.3522,0.3245,0.8143,0.6327,0.9499,0.6312,0.3156
1,0,0.5359,0.7804,0.4176,0.3498,0.3215,0.8139,0.6312,0.9503,0.6308,0.3121
1,1,0.5242,0.7763,0.38,0.329,0.2905,0.812,0.6145,0.9595,0.6441,0.2695
1,2,0.5308,0.7753,0.3684,0.3361,0.2864,0.8154,0.6102,0.9687,0.686,0.2518
1,3,0.5241,0.781,0.4322,0.3612,0.3353,0.8158,0.6382,0.9484,0.6336,0.328
1,4,0.53,0.7769,0.4,0.3513,0.3119,0.8169,0.6234,0.9614,0.668,0.2855
2,0,0.5267,0.7748,0.3692,0.3214,0.2809,0.8108,0.6099,0.9609,0.6432,0.2589
2,1,0.5338,0.7774,0.4,0.3479,0.3105,0.8158,0.6234,0.9595,0.6585,0.2872
2,2,0.5175,0.7734,0.3526,0.3104,0.2667,0.8093,0.6031,0.9634,0.6432,0.2429
2,3,0.5284,0.7765,0.4341,0.376,0.3431,0.8211,0.639,0.9571,0.6704,0.3209
2,4,0.529,0.7725,0.3571,0.3194,0.273,0.8116,0.6052,0.9658,0.6603,0.2447
