,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5348,0.7817,0.3975,0.3516,0.3105,0.8173,0.6224,0.9629,0.6737,0.2819
0,1,0.5284,0.7838,0.4062,0.336,0.3086,0.8105,0.6258,0.9484,0.6151,0.3032
0,2,0.5364,0.7767,0.3964,0.364,0.3147,0.8211,0.6222,0.9696,0.711,0.2748
0,3,0.5516,0.7894,0.4166,0.3619,0.3264,0.8184,0.6309,0.9585,0.6654,0.3032
0,4,0.5346,0.7827,0.4152,0.3468,0.3188,0.8131,0.6301,0.9499,0.6272,0.3103
1,0,0.5356,0.7797,0.376,0.3371,0.2915,0.815,0.6132,0.9658,0.6743,0.2606
1,1,0.5374,0.7831,0.394,0.3457,0.3059,0.8158,0.6208,0.9614,0.6639,0.2801
1,2,0.515,0.7713,0.4039,0.3516,0.3144,0.8165,0.6251,0.9595,0.6613,0.2908
1,3,0.5295,0.7794,0.4044,0.3463,0.3123,0.8146,0.6252,0.9561,0.6459,0.2943
1,4,0.5011,0.7676,0.339,0.3004,0.2546,0.8078,0.5976,0.9648,0.6404,0.2305
2,0,0.5507,0.7757,0.4154,0.372,0.3299,0.8218,0.6305,0.9648,0.6958,0.2961
2,1,0.535,0.772,0.3761,0.3334,0.2901,0.8139,0.6131,0.9638,0.6637,0.2624
2,2,0.5522,0.7822,0.4093,0.3525,0.318,0.8161,0.6275,0.9571,0.6537,0.2979
2,3,0.5485,0.779,0.406,0.3605,0.3194,0.8192,0.6262,0.9634,0.682,0.289
2,4,0.545,0.7805,0.4458,0.3827,0.3531,0.8218,0.6447,0.9542,0.6655,0.3351
