,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.427,0.7599,0.2591,0.2198,0.1804,0.806,0.5671,0.9633,0.5359,0.1708
0,1,0.4472,0.7628,0.324,0.2659,0.2349,0.8101,0.5916,0.9541,0.5528,0.2292
0,2,0.4626,0.7734,0.3413,0.2637,0.2424,0.8051,0.5979,0.9417,0.5191,0.2542
0,3,0.4314,0.7649,0.3306,0.244,0.2265,0.7989,0.5925,0.935,0.4878,0.25
0,4,0.4357,0.7683,0.2536,0.2224,0.1787,0.8076,0.5658,0.967,0.5524,0.1646
1,0,0.4489,0.7664,0.3632,0.2723,0.2572,0.8026,0.6073,0.9313,0.5056,0.2833
1,1,0.4372,0.7667,0.3356,0.2532,0.2339,0.8018,0.5951,0.938,0.5021,0.2521
1,2,0.4373,0.7702,0.2642,0.2238,0.1847,0.8064,0.5689,0.9628,0.5385,0.175
1,3,0.4278,0.7633,0.2917,0.2351,0.2037,0.8051,0.5783,0.9546,0.5243,0.2021
1,4,0.4487,0.7713,0.29,0.2297,0.2002,0.8035,0.5773,0.9525,0.5132,0.2021
2,0,0.4146,0.7507,0.2053,0.1757,0.1347,0.8014,0.5486,0.968,0.5,0.1292
2,1,0.4207,0.7493,0.2453,0.1985,0.1638,0.8014,0.5611,0.9597,0.5,0.1625
2,2,0.4579,0.7693,0.3357,0.2642,0.2399,0.8068,0.5958,0.9458,0.5291,0.2458
2,3,0.4426,0.7721,0.3077,0.2472,0.2176,0.8064,0.5846,0.9525,0.5306,0.2167
2,4,0.4298,0.7523,0.2357,0.2106,0.1645,0.8068,0.5598,0.9695,0.5496,0.15
