,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5071,0.7839,0.3594,0.3112,0.275,0.82,0.6072,0.9602,0.6131,0.2542
0,1,0.499,0.7833,0.4022,0.3247,0.3049,0.8167,0.6263,0.9422,0.5709,0.3104
0,2,0.504,0.7939,0.3739,0.3103,0.2827,0.8171,0.6132,0.9515,0.5841,0.275
0,3,0.4935,0.7886,0.3634,0.3095,0.2765,0.8188,0.6088,0.9572,0.601,0.2604
0,4,0.5019,0.7881,0.3747,0.2989,0.2774,0.8122,0.6133,0.9432,0.5528,0.2833
1,0,0.503,0.7909,0.3657,0.29,0.2682,0.8105,0.6091,0.9432,0.5455,0.275
1,1,0.4765,0.7791,0.359,0.2941,0.2669,0.8138,0.6065,0.9504,0.5676,0.2625
1,2,0.4907,0.7879,0.3631,0.2974,0.2707,0.8142,0.6083,0.9499,0.5689,0.2667
1,3,0.5094,0.7848,0.3983,0.3302,0.3056,0.82,0.6244,0.9489,0.5926,0.3
1,4,0.4929,0.7887,0.3879,0.3148,0.2924,0.8159,0.6195,0.9453,0.5709,0.2937
2,0,0.5041,0.785,0.3861,0.3167,0.2924,0.8171,0.6187,0.9479,0.5792,0.2896
2,1,0.4947,0.7884,0.3543,0.3017,0.2679,0.8175,0.6049,0.9577,0.5961,0.2521
2,2,0.5078,0.792,0.4048,0.3253,0.3066,0.8163,0.6276,0.9406,0.5677,0.3146
2,3,0.4711,0.7777,0.3227,0.2577,0.2302,0.8072,0.5906,0.9499,0.5337,0.2313
2,4,0.514,0.7957,0.3955,0.3329,0.3053,0.8217,0.6231,0.9525,0.6052,0.2937
