,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6642,0.7727,0.5643,0.3782,0.3674,0.7214,0.6732,0.8613,0.6744,0.4851
0,1,0.6774,0.7767,0.5484,0.3872,0.3668,0.7266,0.6695,0.8925,0.711,0.4464
0,2,0.6539,0.7657,0.5576,0.3738,0.3617,0.7199,0.6699,0.8652,0.6758,0.4745
0,3,0.6785,0.7769,0.5756,0.3937,0.3828,0.7279,0.6806,0.8652,0.6855,0.496
0,4,0.6916,0.7929,0.5995,0.4154,0.4077,0.7362,0.6943,0.8579,0.6887,0.5308
1,0,0.6765,0.7788,0.5786,0.3982,0.3873,0.7299,0.6827,0.8668,0.6891,0.4987
1,1,0.68,0.7861,0.5883,0.4017,0.3935,0.7305,0.6871,0.8566,0.6813,0.5176
1,2,0.6626,0.766,0.5481,0.3656,0.3522,0.7168,0.6648,0.8678,0.6742,0.4618
1,3,0.6706,0.7694,0.5722,0.3907,0.3793,0.7268,0.6787,0.8663,0.685,0.4912
1,4,0.6907,0.7915,0.5665,0.3942,0.3794,0.7289,0.6774,0.8785,0.6989,0.4763
2,0,0.6919,0.7854,0.5776,0.4011,0.3888,0.7313,0.6829,0.872,0.6955,0.4938
2,1,0.6601,0.7655,0.5402,0.3503,0.3383,0.7101,0.6587,0.8595,0.6587,0.4578
2,2,0.6265,0.7387,0.5142,0.3315,0.3153,0.7035,0.6461,0.8704,0.6584,0.4218
2,3,0.6886,0.7922,0.5811,0.4078,0.3949,0.7343,0.6856,0.8756,0.7024,0.4956
2,4,0.6701,0.7776,0.566,0.3862,0.3737,0.7251,0.6755,0.8691,0.6856,0.482
