,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7115,0.8106,0.6471,0.46,0.4579,0.7527,0.7235,0.8376,0.6897,0.6094
0,1,0.707,0.8104,0.633,0.4451,0.4418,0.747,0.7143,0.8421,0.6874,0.5866
0,2,0.715,0.8111,0.6292,0.439,0.4359,0.7442,0.7115,0.8394,0.6828,0.5835
0,3,0.7122,0.8124,0.6267,0.4389,0.435,0.7447,0.7103,0.8447,0.6871,0.576
0,4,0.7098,0.8099,0.6194,0.4276,0.4238,0.7397,0.705,0.8405,0.6789,0.5694
1,0,0.7078,0.809,0.6299,0.4437,0.4398,0.7469,0.7127,0.8462,0.6904,0.5791
1,1,0.7051,0.8057,0.6178,0.421,0.418,0.7361,0.7029,0.8324,0.6696,0.5734
1,2,0.7071,0.8087,0.6271,0.4382,0.4346,0.7442,0.7104,0.8426,0.6851,0.5782
1,3,0.7096,0.8091,0.6245,0.4387,0.4342,0.7451,0.7093,0.8488,0.6906,0.5699
1,4,0.7128,0.8098,0.6381,0.4527,0.4494,0.7504,0.718,0.8447,0.6927,0.5914
2,0,0.715,0.8129,0.6364,0.4448,0.4425,0.746,0.7158,0.834,0.6807,0.5975
2,1,0.7,0.8056,0.598,0.4235,0.4129,0.7405,0.6953,0.8717,0.7055,0.5189
2,2,0.715,0.8131,0.632,0.442,0.439,0.7454,0.7133,0.8387,0.6834,0.5879
2,3,0.708,0.8089,0.6373,0.447,0.4446,0.7472,0.7166,0.8361,0.6833,0.5971
2,4,0.7112,0.8112,0.6429,0.4479,0.4467,0.7462,0.7193,0.8244,0.6744,0.6142
