,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7584,0.8093,0.7091,0.478,0.477,0.7414,0.7408,0.7455,0.684,0.736
0,1,0.7504,0.7994,0.7,0.461,0.4599,0.7329,0.7323,0.7365,0.6741,0.728
0,2,0.7665,0.8085,0.6842,0.4529,0.4528,0.7329,0.7257,0.7754,0.6926,0.676
0,3,0.7484,0.7995,0.7007,0.446,0.44,0.7192,0.7253,0.6826,0.6443,0.768
0,4,0.7377,0.7948,0.6925,0.4495,0.4487,0.7277,0.7263,0.7365,0.6704,0.716
1,0,0.7515,0.806,0.7029,0.4696,0.469,0.738,0.7363,0.7485,0.683,0.724
1,1,0.7423,0.7909,0.6732,0.4171,0.4166,0.7123,0.7098,0.7275,0.6553,0.692
1,2,0.7518,0.8009,0.6667,0.43,0.4295,0.7226,0.7132,0.7784,0.6864,0.648
1,3,0.7455,0.7982,0.6943,0.46,0.4599,0.7346,0.7307,0.7575,0.6848,0.704
1,4,0.7408,0.79,0.6494,0.3852,0.3851,0.6986,0.6928,0.7335,0.6468,0.652
2,0,0.7708,0.8082,0.7006,0.4682,0.4679,0.738,0.7352,0.7545,0.6858,0.716
2,1,0.7487,0.7943,0.6897,0.441,0.4397,0.7226,0.7223,0.7246,0.6618,0.72
2,2,0.7434,0.7988,0.6888,0.4474,0.447,0.7277,0.7248,0.7455,0.6743,0.704
2,3,0.763,0.81,0.6957,0.4473,0.4451,0.7243,0.7258,0.7156,0.6595,0.736
2,4,0.7452,0.8018,0.6801,0.4432,0.4431,0.7277,0.7212,0.7665,0.6842,0.676
