,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7855,0.8237,0.6892,0.455,0.455,0.7329,0.7277,0.7635,0.6865,0.692
0,1,0.7826,0.8392,0.7189,0.5099,0.5099,0.7603,0.7547,0.7934,0.7218,0.716
0,2,0.7709,0.8209,0.6871,0.4623,0.462,0.738,0.7297,0.7874,0.7029,0.672
0,3,0.7381,0.7885,0.6708,0.44,0.4392,0.7277,0.7177,0.7874,0.6953,0.648
0,4,0.7513,0.8017,0.6598,0.4192,0.4186,0.7175,0.7077,0.7754,0.6809,0.64
1,0,0.7746,0.8199,0.7014,0.4787,0.4787,0.7449,0.7392,0.7784,0.7028,0.7
1,1,0.7972,0.839,0.7131,0.5079,0.5074,0.7603,0.7522,0.8084,0.7311,0.696
1,2,0.7329,0.7844,0.6877,0.4492,0.4491,0.7295,0.7252,0.7545,0.6797,0.696
1,3,0.7758,0.823,0.6791,0.4541,0.4533,0.7346,0.7247,0.7934,0.7039,0.656
1,4,0.7959,0.8428,0.7063,0.4835,0.4835,0.7466,0.7422,0.7725,0.7008,0.712
2,0,0.7829,0.8313,0.7269,0.5418,0.5398,0.7774,0.7667,0.8413,0.7655,0.692
2,1,0.7505,0.794,0.6721,0.4375,0.4371,0.726,0.7172,0.7784,0.6891,0.656
2,2,0.7801,0.8222,0.7045,0.488,0.4879,0.75,0.7432,0.7904,0.7131,0.696
2,3,0.7503,0.8019,0.6721,0.4319,0.4318,0.7226,0.7152,0.7665,0.6803,0.664
2,4,0.7799,0.8215,0.704,0.4824,0.4824,0.7466,0.7412,0.7784,0.704,0.704
