,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5193,0.7645,0.4577,0.3572,0.3417,0.7973,0.6478,0.9264,0.6021,0.3691
0,1,0.524,0.7669,0.4605,0.353,0.3406,0.7943,0.6492,0.9196,0.5869,0.3789
0,2,0.538,0.777,0.453,0.344,0.3317,0.7916,0.6452,0.9181,0.5783,0.3724
0,3,0.519,0.7585,0.4529,0.3406,0.3296,0.7898,0.6451,0.9147,0.5704,0.3756
0,4,0.5384,0.7713,0.4638,0.3584,0.3454,0.7962,0.651,0.9215,0.5939,0.3805
1,0,0.5535,0.7775,0.4841,0.3639,0.3575,0.792,0.6625,0.9039,0.5692,0.4211
1,1,0.5393,0.7779,0.4722,0.3632,0.3521,0.7962,0.6556,0.9176,0.5902,0.3935
1,2,0.5221,0.7683,0.4196,0.3235,0.3042,0.7905,0.6286,0.9304,0.586,0.3268
1,3,0.523,0.7675,0.4693,0.3489,0.3417,0.7886,0.6541,0.9049,0.5611,0.4033
1,4,0.5512,0.7778,0.4821,0.373,0.3625,0.7984,0.661,0.9171,0.5957,0.4049
2,0,0.5279,0.7627,0.4366,0.3433,0.3235,0.7958,0.6371,0.9328,0.6052,0.3415
2,1,0.539,0.7754,0.4551,0.3419,0.3313,0.7898,0.6463,0.9137,0.5697,0.3789
2,2,0.5562,0.7831,0.5118,0.3802,0.3785,0.7894,0.6801,0.8838,0.5528,0.4764
2,3,0.5258,0.7622,0.4823,0.3535,0.3495,0.7856,0.6617,0.8926,0.5475,0.4309
2,4,0.5123,0.764,0.4162,0.3053,0.2918,0.7822,0.626,0.9171,0.5493,0.335
