,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4514,0.7291,0.3164,0.2504,0.2167,0.785,0.585,0.9499,0.5619,0.2202
0,1,0.4218,0.7264,0.3108,0.2217,0.1987,0.7745,0.58,0.9349,0.5022,0.225
0,2,0.4533,0.7316,0.2919,0.2398,0.1997,0.7852,0.5766,0.9572,0.5722,0.1959
0,3,0.4679,0.7306,0.3628,0.2676,0.2475,0.7822,0.6024,0.9304,0.535,0.2745
0,4,0.4504,0.7276,0.3371,0.2552,0.229,0.7828,0.5922,0.94,0.5431,0.2444
1,0,0.4588,0.7375,0.2982,0.2345,0.2001,0.7824,0.5778,0.951,0.5495,0.2047
1,1,0.4511,0.7254,0.2974,0.2435,0.2041,0.7857,0.5786,0.9564,0.5734,0.2008
1,2,0.4409,0.7209,0.2719,0.2201,0.1807,0.7817,0.5688,0.9572,0.5519,0.1804
1,3,0.4488,0.7268,0.3478,0.2669,0.2403,0.7854,0.597,0.9408,0.5553,0.2532
1,4,0.4526,0.7439,0.3628,0.2554,0.2402,0.776,0.6012,0.9202,0.5079,0.2823
2,0,0.4485,0.7432,0.3539,0.2685,0.244,0.7848,0.5993,0.9377,0.5501,0.2609
2,1,0.4275,0.7149,0.2532,0.2197,0.1715,0.7841,0.5639,0.9657,0.5799,0.162
2,2,0.4494,0.7349,0.3266,0.2439,0.2181,0.7804,0.5876,0.9394,0.5317,0.2357
2,3,0.42,0.7129,0.242,0.1891,0.1521,0.7762,0.5574,0.9567,0.5158,0.1581
2,4,0.4311,0.7212,0.3351,0.2475,0.2238,0.78,0.5907,0.936,0.5282,0.2454
