,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5007,0.7484,0.4096,0.3474,0.3159,0.8143,0.6276,0.9537,0.6391,0.3014
0,1,0.4936,0.7508,0.3935,0.3083,0.2878,0.8014,0.6194,0.9373,0.5667,0.3014
0,2,0.5164,0.7683,0.4074,0.3258,0.3041,0.8059,0.6261,0.9402,0.5867,0.3121
0,3,0.5007,0.7525,0.3961,0.3344,0.3022,0.8116,0.6214,0.9537,0.6293,0.289
0,4,0.5034,0.7475,0.4437,0.352,0.3366,0.8089,0.6442,0.932,0.5877,0.3564
1,0,0.4912,0.7467,0.3699,0.3085,0.2756,0.8063,0.6096,0.9532,0.6073,0.266
1,1,0.4799,0.7491,0.3872,0.3092,0.2851,0.8033,0.6167,0.9426,0.5795,0.2908
1,2,0.5056,0.7523,0.3981,0.3303,0.3014,0.8097,0.6221,0.9499,0.6148,0.2943
1,3,0.4899,0.7517,0.3783,0.3075,0.2796,0.8044,0.6129,0.9474,0.5902,0.2784
1,4,0.4907,0.747,0.3825,0.3322,0.2934,0.8127,0.6156,0.96,0.6483,0.2713
2,0,0.4781,0.747,0.3698,0.3014,0.2721,0.8036,0.6092,0.9489,0.5891,0.2695
2,1,0.4723,0.7474,0.3749,0.2957,0.2718,0.8002,0.6109,0.9417,0.5663,0.2801
2,2,0.5079,0.7592,0.4043,0.3313,0.3052,0.8089,0.6248,0.9465,0.6064,0.3032
2,3,0.4799,0.747,0.3684,0.2914,0.2664,0.7998,0.6081,0.9431,0.5662,0.273
2,4,0.4959,0.7527,0.3981,0.3192,0.2959,0.8052,0.6218,0.9421,0.5862,0.3014
