,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.459,0.7673,0.3702,0.2945,0.2728,0.8113,0.6112,0.9432,0.5492,0.2792
0,1,0.4601,0.7622,0.4238,0.3216,0.3133,0.8076,0.6379,0.9195,0.5229,0.3562
0,2,0.4302,0.7555,0.3629,0.2691,0.2552,0.801,0.6071,0.9288,0.4982,0.2854
0,3,0.412,0.7473,0.2738,0.2066,0.1809,0.7981,0.57,0.9484,0.4792,0.1917
0,4,0.4393,0.7476,0.3513,0.2435,0.2343,0.7906,0.6006,0.9158,0.4567,0.2854
1,0,0.4189,0.7498,0.3149,0.2367,0.2154,0.8002,0.5862,0.9411,0.4933,0.2313
1,1,0.422,0.7502,0.2718,0.2171,0.1853,0.8026,0.5705,0.9556,0.5086,0.1854
1,2,0.4665,0.7675,0.3884,0.2995,0.2844,0.8084,0.6196,0.9329,0.5307,0.3063
1,3,0.4166,0.7399,0.3408,0.2409,0.2287,0.7935,0.5962,0.9236,0.4657,0.2688
1,4,0.4206,0.7559,0.3429,0.2577,0.2398,0.8018,0.5982,0.936,0.502,0.2604
2,0,0.4551,0.76,0.3538,0.2775,0.2558,0.808,0.6036,0.9427,0.5336,0.2646
2,1,0.4236,0.7461,0.3636,0.2734,0.2581,0.8031,0.6076,0.9319,0.5075,0.2833
2,2,0.4256,0.752,0.3361,0.2476,0.2309,0.7989,0.5948,0.9334,0.4881,0.2562
2,3,0.4449,0.7636,0.366,0.2734,0.2591,0.8022,0.6086,0.9298,0.5036,0.2875
2,4,0.4336,0.7545,0.3817,0.2875,0.2743,0.8043,0.6162,0.9282,0.5123,0.3042
