,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6569,0.7652,0.5326,0.3571,0.3401,0.714,0.6577,0.8774,0.6792,0.438
0,1,0.6655,0.7786,0.5591,0.3673,0.3576,0.7165,0.6689,0.8545,0.6631,0.4833
0,2,0.6656,0.7718,0.5892,0.3811,0.3778,0.7187,0.6827,0.8233,0.6451,0.5422
0,3,0.6597,0.7705,0.5694,0.3744,0.3665,0.7187,0.6741,0.8483,0.6612,0.5
0,4,0.6608,0.7713,0.5515,0.3639,0.3524,0.7156,0.6656,0.861,0.6671,0.4701
1,0,0.6655,0.7747,0.5779,0.3823,0.3754,0.7217,0.679,0.8457,0.6629,0.5123
1,1,0.6708,0.7794,0.601,0.3955,0.3927,0.7246,0.6906,0.8236,0.6518,0.5576
1,2,0.6651,0.7757,0.6036,0.3922,0.3906,0.7218,0.6908,0.8121,0.6422,0.5694
1,3,0.6617,0.7712,0.5676,0.3736,0.3653,0.7186,0.6733,0.8501,0.6624,0.4965
1,4,0.6643,0.7752,0.5896,0.389,0.3843,0.7233,0.6848,0.8353,0.6577,0.5343
2,0,0.6636,0.7741,0.5913,0.3871,0.3832,0.7218,0.685,0.829,0.652,0.5409
2,1,0.6793,0.7832,0.5909,0.4071,0.3984,0.733,0.6892,0.86,0.6868,0.5185
2,2,0.6631,0.7743,0.5951,0.382,0.38,0.7178,0.6851,0.8126,0.638,0.5576
2,3,0.6825,0.7874,0.6012,0.3988,0.3955,0.7266,0.6914,0.8288,0.6571,0.554
2,4,0.6662,0.7761,0.579,0.3875,0.3796,0.7243,0.6805,0.8514,0.6701,0.5097
