,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7559,0.804,0.6892,0.455,0.455,0.7329,0.7277,0.7635,0.6865,0.692
0,1,0.7628,0.8168,0.7023,0.4626,0.461,0.7329,0.7333,0.7305,0.6715,0.736
0,2,0.7556,0.7939,0.6792,0.4571,0.456,0.7363,0.7257,0.7994,0.7087,0.652
0,3,0.7561,0.796,0.6968,0.4482,0.4456,0.7243,0.7263,0.7126,0.6584,0.74
0,4,0.7508,0.7892,0.6705,0.4109,0.4103,0.7089,0.7068,0.7216,0.6504,0.692
1,0,0.7588,0.7978,0.6653,0.4211,0.421,0.7175,0.7097,0.7635,0.6749,0.656
1,1,0.7597,0.7909,0.6681,0.4393,0.438,0.7277,0.7167,0.7934,0.6987,0.64
1,2,0.7621,0.7996,0.6797,0.4303,0.4299,0.7192,0.7163,0.7365,0.6641,0.696
1,3,0.7558,0.7994,0.6736,0.4437,0.443,0.7295,0.7197,0.7874,0.6966,0.652
1,4,0.7781,0.8201,0.6724,0.4591,0.4559,0.738,0.7242,0.8204,0.7235,0.628
2,0,0.7654,0.8003,0.6765,0.4597,0.4576,0.738,0.7257,0.8114,0.7175,0.64
2,1,0.777,0.8197,0.7011,0.4499,0.4452,0.7226,0.7273,0.6946,0.6507,0.76
2,2,0.7702,0.8038,0.6831,0.4582,0.4576,0.7363,0.7272,0.7904,0.7034,0.664
2,3,0.7602,0.7976,0.6748,0.4384,0.4382,0.726,0.7182,0.7725,0.686,0.664
2,4,0.7528,0.7893,0.6457,0.4034,0.4021,0.7106,0.6987,0.7814,0.6784,0.616
