,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5738,0.773,0.4702,0.3807,0.3611,0.8056,0.6543,0.9362,0.6379,0.3724
0,1,0.5551,0.7787,0.4433,0.3443,0.3274,0.7946,0.6404,0.9279,0.5962,0.3528
0,2,0.5363,0.7626,0.4591,0.3502,0.3383,0.7931,0.6485,0.9181,0.5825,0.3789
0,3,0.5551,0.7782,0.4877,0.372,0.3644,0.7958,0.6644,0.9093,0.5824,0.4195
0,4,0.5418,0.7602,0.4504,0.3582,0.3386,0.7995,0.6441,0.9338,0.6176,0.3545
1,0,0.5532,0.7685,0.444,0.3478,0.3297,0.7962,0.6408,0.9304,0.6034,0.3512
1,1,0.5412,0.7527,0.4407,0.3527,0.3307,0.7992,0.6393,0.9372,0.6213,0.3415
1,2,0.54,0.7696,0.4525,0.3515,0.336,0.7958,0.6451,0.9259,0.5973,0.3642
1,3,0.5488,0.7685,0.4576,0.3487,0.3366,0.7928,0.6477,0.9181,0.5815,0.3772
1,4,0.5145,0.7438,0.3511,0.3173,0.264,0.798,0.6017,0.9676,0.6872,0.2358
2,0,0.5442,0.7664,0.4531,0.3563,0.339,0.798,0.6454,0.9299,0.6082,0.361
2,1,0.5535,0.7735,0.4643,0.3546,0.3432,0.7939,0.6512,0.9171,0.5837,0.3854
2,2,0.5496,0.7698,0.465,0.353,0.3426,0.7928,0.6516,0.9147,0.5787,0.3886
2,3,0.5659,0.7863,0.5,0.3846,0.3777,0.7988,0.6715,0.9088,0.5894,0.4341
2,4,0.5228,0.7514,0.3934,0.3172,0.2876,0.7931,0.6173,0.9451,0.6138,0.2894
