,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4847,0.749,0.4268,0.3194,0.3065,0.7898,0.6328,0.9193,0.5561,0.3463
0,1,0.455,0.7299,0.3214,0.251,0.2195,0.7844,0.5867,0.9473,0.5561,0.226
0,2,0.4935,0.757,0.3995,0.3138,0.2905,0.7944,0.6203,0.938,0.5876,0.3026
0,3,0.4543,0.7364,0.3599,0.2619,0.2429,0.7802,0.6008,0.9281,0.5261,0.2735
0,4,0.4835,0.7511,0.4147,0.3145,0.2982,0.7909,0.627,0.9261,0.5643,0.3278
1,0,0.4773,0.7446,0.4109,0.2898,0.281,0.7782,0.6239,0.9054,0.5138,0.3424
1,1,0.4678,0.7414,0.4234,0.3005,0.2929,0.7798,0.6304,0.9029,0.5183,0.3579
1,2,0.4905,0.7537,0.3978,0.2997,0.2818,0.7883,0.6187,0.9281,0.5567,0.3094
1,3,0.4618,0.7407,0.3626,0.267,0.2471,0.7819,0.6023,0.9301,0.534,0.2745
1,4,0.4814,0.7458,0.4264,0.3164,0.3045,0.7883,0.6325,0.9168,0.5498,0.3482
2,0,0.4887,0.7474,0.4212,0.3149,0.3013,0.7892,0.63,0.9204,0.5547,0.3395
2,1,0.4706,0.7423,0.3964,0.2841,0.2717,0.7804,0.6171,0.9151,0.5231,0.3191
2,2,0.4806,0.7421,0.3507,0.2856,0.2513,0.7922,0.5997,0.951,0.5967,0.2483
2,3,0.4734,0.7455,0.4161,0.3071,0.2943,0.7865,0.6272,0.9179,0.5447,0.3366
2,4,0.4674,0.7412,0.4393,0.3054,0.3015,0.7751,0.6388,0.8876,0.5031,0.3899
