,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4994,0.7478,0.3599,0.2917,0.2622,0.8017,0.6048,0.9489,0.581,0.2606
0,1,0.4887,0.7394,0.36,0.303,0.2676,0.8059,0.6055,0.9556,0.6102,0.2553
0,2,0.5042,0.7523,0.3799,0.3324,0.2919,0.8131,0.6146,0.9614,0.6537,0.2677
0,3,0.5024,0.7471,0.3893,0.3263,0.2946,0.8097,0.6182,0.9527,0.6202,0.2837
0,4,0.4701,0.7244,0.2407,0.268,0.1842,0.8063,0.5651,0.9865,0.7431,0.1436
1,0,0.5169,0.7607,0.38,0.329,0.2905,0.812,0.6145,0.9595,0.6441,0.2695
1,1,0.4823,0.7378,0.2936,0.2814,0.2207,0.8067,0.5814,0.9749,0.6709,0.1879
1,2,0.4909,0.736,0.3752,0.3089,0.2786,0.8055,0.6117,0.9503,0.5992,0.273
1,3,0.5115,0.7564,0.4112,0.3347,0.3107,0.8089,0.6281,0.9441,0.6027,0.3121
1,4,0.497,0.7441,0.3408,0.3115,0.2602,0.8108,0.5989,0.9691,0.6684,0.2287
2,0,0.4994,0.7478,0.3928,0.3259,0.2963,0.8089,0.6197,0.9503,0.6128,0.289
2,1,0.4902,0.7427,0.354,0.3016,0.2636,0.8063,0.6031,0.9581,0.6167,0.2482
2,2,0.4877,0.7403,0.3129,0.2946,0.237,0.8086,0.5884,0.973,0.6725,0.2039
2,3,0.485,0.7356,0.3165,0.3016,0.2418,0.8101,0.5901,0.9744,0.6864,0.2057
2,4,0.5099,0.7596,0.4173,0.3319,0.3124,0.8063,0.6309,0.9373,0.5847,0.3245
