,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4356,0.7421,0.2884,0.2477,0.2079,0.8101,0.5783,0.9628,0.5636,0.1937
0,1,0.4695,0.7657,0.4205,0.3206,0.3113,0.8084,0.636,0.922,0.5266,0.35
0,2,0.4191,0.7381,0.2544,0.2257,0.1805,0.8084,0.5663,0.968,0.5603,0.1646
0,3,0.4577,0.7595,0.3357,0.2722,0.2441,0.8101,0.5963,0.951,0.5498,0.2417
0,4,0.4438,0.7493,0.34,0.2715,0.2459,0.8089,0.5979,0.9479,0.5409,0.2479
1,0,0.4651,0.7628,0.4081,0.3298,0.3107,0.8175,0.6292,0.9417,0.5736,0.3167
1,1,0.4431,0.7542,0.2943,0.2376,0.2062,0.8055,0.5794,0.9546,0.5269,0.2042
1,2,0.4655,0.7667,0.3995,0.3022,0.2909,0.806,0.6251,0.9251,0.5183,0.325
1,3,0.4477,0.758,0.3725,0.2879,0.2704,0.8076,0.612,0.9365,0.5287,0.2875
1,4,0.4284,0.7364,0.279,0.2418,0.2003,0.8097,0.5749,0.9644,0.5633,0.1854
2,0,0.4333,0.7449,0.3208,0.2712,0.2357,0.8126,0.5908,0.9587,0.5722,0.2229
2,1,0.4591,0.7539,0.4127,0.2926,0.2892,0.7927,0.6325,0.8983,0.4718,0.3667
2,2,0.4332,0.7557,0.3539,0.2714,0.2525,0.8051,0.6034,0.938,0.5181,0.2688
2,3,0.4421,0.761,0.3723,0.2822,0.267,0.8047,0.6118,0.9319,0.5147,0.2917
2,4,0.4655,0.7568,0.3719,0.2955,0.2742,0.8113,0.612,0.9427,0.5488,0.2812
