,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6949,0.8,0.5987,0.414,0.4064,0.7356,0.6937,0.8571,0.6874,0.5303
0,1,0.7087,0.8076,0.6367,0.4392,0.438,0.7424,0.7148,0.8228,0.6697,0.6068
0,2,0.7031,0.8051,0.6434,0.4486,0.4474,0.7465,0.7196,0.8246,0.6749,0.6147
0,3,0.6995,0.7987,0.6316,0.4391,0.4366,0.7437,0.7125,0.8345,0.6788,0.5905
0,4,0.6952,0.8012,0.6105,0.4172,0.4129,0.7354,0.6992,0.8407,0.6746,0.5576
1,0,0.6998,0.8055,0.6249,0.4361,0.4322,0.7434,0.709,0.8434,0.6848,0.5747
1,1,0.7048,0.8065,0.626,0.435,0.4317,0.7426,0.7093,0.8394,0.6811,0.5791
1,2,0.7039,0.8043,0.6352,0.4365,0.4353,0.7411,0.7136,0.8212,0.6675,0.6059
1,3,0.6954,0.7976,0.6241,0.4273,0.4249,0.7384,0.7069,0.8298,0.6702,0.5839
1,4,0.6987,0.8025,0.6177,0.4288,0.4242,0.7406,0.7045,0.8457,0.6837,0.5633
2,0,0.6984,0.8027,0.6386,0.4454,0.4437,0.7459,0.7169,0.8301,0.6778,0.6037
2,1,0.7022,0.8006,0.6097,0.4246,0.4182,0.7397,0.7003,0.854,0.6892,0.5466
2,2,0.7065,0.8058,0.6288,0.4361,0.4334,0.7426,0.7107,0.8353,0.6782,0.5861
2,3,0.701,0.8054,0.6217,0.4335,0.4292,0.7426,0.7071,0.8457,0.6857,0.5685
2,4,0.7034,0.8035,0.6353,0.4391,0.4375,0.7428,0.7141,0.8259,0.6721,0.6024
