,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7918,0.8297,0.7162,0.4872,0.4854,0.7449,0.7458,0.7395,0.6836,0.752
0,1,0.7849,0.8257,0.7187,0.5183,0.5178,0.7654,0.7572,0.8144,0.7384,0.7
0,2,0.7998,0.8339,0.7085,0.495,0.4949,0.7534,0.7467,0.7934,0.7172,0.7
0,3,0.7815,0.8372,0.6957,0.4824,0.4815,0.7483,0.7387,0.8054,0.721,0.672
0,4,0.8027,0.8333,0.7283,0.5066,0.5039,0.7534,0.7558,0.7395,0.6893,0.772
1,0,0.7775,0.8169,0.7175,0.4825,0.4784,0.7397,0.7438,0.7156,0.6701,0.772
1,1,0.7883,0.8305,0.6857,0.459,0.4587,0.7363,0.7282,0.7844,0.7,0.672
1,2,0.8036,0.8381,0.7107,0.5073,0.5064,0.7603,0.7512,0.8144,0.735,0.688
1,3,0.7797,0.8226,0.6767,0.4663,0.463,0.7414,0.7277,0.8234,0.7281,0.632
1,4,0.8011,0.832,0.7174,0.5067,0.5067,0.7586,0.7532,0.7904,0.7189,0.716
2,0,0.7923,0.8257,0.7269,0.4983,0.4932,0.7466,0.7518,0.7156,0.6747,0.788
2,1,0.786,0.8382,0.7228,0.5253,0.5248,0.7688,0.7607,0.8174,0.7426,0.704
2,2,0.7894,0.8357,0.6983,0.4861,0.4853,0.75,0.7407,0.8054,0.7222,0.676
2,3,0.7864,0.8244,0.7137,0.4923,0.492,0.75,0.7472,0.7665,0.7,0.728
2,4,0.7981,0.8371,0.7178,0.5211,0.5201,0.7671,0.7577,0.8234,0.7457,0.692
