,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5908,0.7929,0.4746,0.3812,0.3637,0.8048,0.6566,0.9328,0.6307,0.3805
0,1,0.584,0.7975,0.4942,0.3886,0.3776,0.8033,0.6676,0.9205,0.6115,0.4146
0,2,0.5656,0.7848,0.462,0.3761,0.3543,0.8052,0.6501,0.9392,0.6416,0.361
0,3,0.5857,0.7966,0.4799,0.3944,0.3735,0.8097,0.6593,0.9397,0.6545,0.3789
0,4,0.5853,0.7909,0.4859,0.393,0.376,0.8078,0.6626,0.9333,0.6393,0.3919
1,0,0.5721,0.7911,0.4694,0.3846,0.3626,0.8075,0.6538,0.9402,0.6494,0.3675
1,1,0.5529,0.7782,0.4583,0.3518,0.3389,0.7943,0.6481,0.9205,0.5878,0.3756
1,2,0.5503,0.7732,0.4431,0.3497,0.3303,0.7973,0.6404,0.9328,0.6097,0.348
1,3,0.5659,0.7922,0.4547,0.3721,0.3482,0.8048,0.6464,0.9416,0.6448,0.3512
1,4,0.569,0.7851,0.4449,0.3459,0.3291,0.795,0.6412,0.9279,0.5973,0.3545
2,0,0.5814,0.7949,0.4664,0.3724,0.3546,0.8026,0.6523,0.9323,0.624,0.3724
2,1,0.5536,0.7777,0.4577,0.3725,0.35,0.8044,0.6479,0.9397,0.6404,0.3561
2,2,0.5652,0.7793,0.4268,0.3402,0.3168,0.7965,0.6325,0.9382,0.6147,0.3268
2,3,0.5825,0.7935,0.4564,0.3737,0.3499,0.8052,0.6472,0.9416,0.6458,0.3528
2,4,0.5709,0.787,0.4353,0.377,0.3392,0.8093,0.6374,0.9578,0.694,0.3171
