,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5148,0.7731,0.4071,0.3176,0.2963,0.7944,0.6237,0.9352,0.5844,0.3123
0,1,0.5346,0.773,0.4305,0.343,0.3218,0.8006,0.6353,0.9369,0.6067,0.3337
0,2,0.5164,0.7667,0.4023,0.3104,0.29,0.7922,0.6213,0.9332,0.5748,0.3094
0,3,0.5194,0.7728,0.4254,0.3218,0.3074,0.7916,0.6322,0.923,0.5641,0.3414
0,4,0.5211,0.776,0.3922,0.3128,0.2863,0.7955,0.6172,0.9425,0.5972,0.2919
1,0,0.534,0.7746,0.3944,0.3238,0.2929,0.7995,0.6188,0.9485,0.6208,0.289
1,1,0.5277,0.7668,0.4125,0.3399,0.3107,0.8028,0.6271,0.9476,0.6307,0.3065
1,2,0.5283,0.7767,0.4039,0.3246,0.2984,0.7982,0.6227,0.9428,0.607,0.3026
1,3,0.539,0.7784,0.4273,0.3394,0.3183,0.7997,0.6337,0.9366,0.6035,0.3307
1,4,0.5246,0.7784,0.4059,0.3205,0.2972,0.796,0.6234,0.9383,0.5933,0.3084
2,0,0.5228,0.7704,0.3982,0.3107,0.2882,0.7933,0.6196,0.9366,0.5821,0.3026
2,1,0.5318,0.775,0.4166,0.3348,0.3103,0.7999,0.6287,0.9411,0.6105,0.3162
2,2,0.5274,0.7785,0.4149,0.3334,0.3086,0.7997,0.6278,0.9414,0.6102,0.3143
2,3,0.5154,0.7704,0.4212,0.3292,0.3096,0.7964,0.6305,0.9332,0.5889,0.3278
2,4,0.5228,0.7773,0.4105,0.3288,0.304,0.7986,0.6257,0.9411,0.6061,0.3104
