,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5111,0.7713,0.3302,0.3027,0.2504,0.8093,0.5947,0.9696,0.6631,0.2199
0,1,0.5082,0.7662,0.2968,0.287,0.2246,0.8078,0.5828,0.9759,0.6815,0.1897
0,2,0.5186,0.763,0.3288,0.3154,0.2543,0.8127,0.595,0.9754,0.7035,0.2145
0,3,0.5299,0.7722,0.3793,0.3345,0.2924,0.8139,0.6144,0.9629,0.6608,0.266
0,4,0.5125,0.7721,0.3537,0.3049,0.2649,0.8074,0.6032,0.96,0.6261,0.2465
1,0,0.5004,0.7623,0.2736,0.2677,0.204,0.8048,0.5744,0.9769,0.669,0.172
1,1,0.5011,0.7603,0.3298,0.2908,0.2454,0.8059,0.5939,0.9643,0.63,0.2234
1,2,0.5282,0.7737,0.3519,0.3126,0.2671,0.8101,0.603,0.9648,0.6507,0.2411
1,3,0.5224,0.7657,0.3056,0.3004,0.2346,0.8105,0.5864,0.9778,0.7051,0.195
1,4,0.5159,0.7673,0.332,0.3147,0.256,0.8124,0.596,0.974,0.6949,0.2181
2,0,0.5007,0.7683,0.3204,0.2913,0.2402,0.8071,0.5907,0.9687,0.6486,0.2128
2,1,0.5174,0.7628,0.3744,0.3245,0.2853,0.8112,0.6121,0.96,0.6422,0.2642
2,2,0.5074,0.7661,0.3347,0.3015,0.2525,0.8086,0.5962,0.9672,0.6513,0.2252
2,3,0.5284,0.7733,0.3748,0.338,0.2912,0.8154,0.6128,0.9667,0.6791,0.2589
2,4,0.5097,0.7703,0.3552,0.3138,0.2696,0.8101,0.6043,0.9638,0.6479,0.2447
