,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4296,0.7606,0.2946,0.2282,0.2016,0.8018,0.5786,0.9489,0.5025,0.2083
0,1,0.3721,0.7162,0.1791,0.1517,0.1124,0.7989,0.54,0.9695,0.4732,0.1104
0,2,0.4126,0.7427,0.2435,0.216,0.1708,0.8072,0.5624,0.9685,0.5515,0.1562
0,3,0.3982,0.7203,0.1607,0.1688,0.1102,0.8055,0.5378,0.9819,0.5625,0.0938
0,4,0.4279,0.7523,0.3003,0.2626,0.2208,0.813,0.5832,0.9644,0.5843,0.2021
1,0,0.3882,0.7141,0.148,0.1583,0.1003,0.8047,0.5342,0.983,0.5541,0.0854
1,1,0.3945,0.7394,0.2172,0.1785,0.1415,0.8002,0.5517,0.9639,0.4891,0.1396
1,2,0.4031,0.7284,0.1837,0.1783,0.1253,0.8051,0.5439,0.9773,0.5464,0.1104
1,3,0.4273,0.7516,0.2625,0.2178,0.1812,0.8047,0.5679,0.9608,0.525,0.175
1,4,0.4089,0.7499,0.25,0.2085,0.1708,0.8039,0.5634,0.9623,0.5197,0.1646
2,0,0.3928,0.728,0.1937,0.1647,0.1246,0.8002,0.5447,0.9685,0.4874,0.1208
2,1,0.4154,0.7442,0.2107,0.1904,0.1436,0.8047,0.5514,0.9716,0.5339,0.1312
2,2,0.4469,0.7589,0.3214,0.268,0.2346,0.8113,0.5908,0.9566,0.5625,0.225
2,3,0.4416,0.76,0.3093,0.2681,0.2281,0.8134,0.5866,0.9628,0.5838,0.2104
2,4,0.4119,0.7323,0.2024,0.1845,0.137,0.8043,0.5488,0.9726,0.531,0.125
