,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.69,0.7922,0.5966,0.4049,0.3988,0.731,0.691,0.8473,0.6746,0.5347
0,1,0.6735,0.7871,0.5844,0.3973,0.3888,0.7287,0.6847,0.8566,0.6793,0.5127
0,2,0.6656,0.7764,0.574,0.3691,0.3639,0.715,0.6745,0.8327,0.6463,0.5163
0,3,0.6791,0.7873,0.5946,0.3984,0.3932,0.7277,0.6888,0.8407,0.6663,0.5369
0,4,0.6872,0.7952,0.5956,0.4113,0.4033,0.7346,0.692,0.8584,0.6874,0.5255
1,0,0.6725,0.7816,0.6006,0.403,0.3987,0.7292,0.6921,0.8368,0.6652,0.5475
1,1,0.6701,0.7818,0.5829,0.388,0.3813,0.724,0.6821,0.8457,0.6655,0.5185
1,2,0.6845,0.7885,0.591,0.3967,0.3907,0.7274,0.687,0.8447,0.6687,0.5294
1,3,0.6824,0.787,0.5909,0.3886,0.3844,0.7228,0.6852,0.8322,0.6551,0.5382
1,4,0.6818,0.7887,0.5989,0.4071,0.4013,0.7318,0.6923,0.8465,0.6749,0.5382
2,0,0.6662,0.7736,0.5732,0.3794,0.3716,0.7209,0.6766,0.8493,0.6645,0.504
2,1,0.6646,0.7745,0.5768,0.3805,0.3736,0.7209,0.6782,0.8449,0.6614,0.5114
2,2,0.6742,0.7787,0.5799,0.3823,0.3761,0.7214,0.6797,0.8423,0.6601,0.5171
2,3,0.6683,0.7789,0.5988,0.3922,0.3894,0.7232,0.6889,0.8225,0.6495,0.5554
2,4,0.6703,0.7787,0.5809,0.3868,0.3798,0.7236,0.6811,0.8473,0.6663,0.5149
