,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7442,0.8004,0.6562,0.3886,0.3882,0.6986,0.6953,0.7186,0.6412,0.672
0,1,0.7412,0.8111,0.6973,0.4548,0.4535,0.7295,0.7293,0.7305,0.6691,0.728
0,2,0.757,0.8136,0.6667,0.4271,0.4268,0.7209,0.7122,0.7725,0.682,0.652
0,3,0.7609,0.8195,0.701,0.4595,0.4578,0.7312,0.7318,0.7275,0.6691,0.736
0,4,0.7551,0.8117,0.697,0.4504,0.4482,0.726,0.7273,0.7186,0.6619,0.736
1,0,0.7567,0.8094,0.6777,0.4508,0.45,0.7329,0.7232,0.7904,0.7009,0.656
1,1,0.7433,0.8054,0.6544,0.406,0.4057,0.7106,0.7017,0.7635,0.6695,0.64
1,2,0.7318,0.7956,0.6405,0.3872,0.3866,0.7021,0.6917,0.7635,0.6624,0.62
1,3,0.7671,0.8221,0.6955,0.4452,0.4425,0.7226,0.7248,0.7096,0.656,0.74
1,4,0.7466,0.8134,0.6936,0.4502,0.4492,0.7277,0.7268,0.7335,0.6691,0.72
2,0,0.7459,0.802,0.6784,0.4296,0.4294,0.7192,0.7158,0.7395,0.6654,0.692
2,1,0.7629,0.8205,0.7066,0.4741,0.4732,0.7397,0.7388,0.7455,0.6828,0.732
2,2,0.7833,0.828,0.7143,0.488,0.4871,0.7466,0.7457,0.7515,0.6903,0.74
2,3,0.7521,0.807,0.6856,0.4296,0.4276,0.7158,0.7168,0.7096,0.6511,0.724
2,4,0.7548,0.822,0.6831,0.4582,0.4576,0.7363,0.7272,0.7904,0.7034,0.664
