,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.59,0.7973,0.5029,0.4032,0.3904,0.8086,0.6722,0.9264,0.6314,0.4179
0,1,0.5717,0.7933,0.4975,0.3996,0.3857,0.8082,0.6691,0.9284,0.6332,0.4098
0,2,0.5725,0.7951,0.4748,0.3641,0.3538,0.7958,0.657,0.9156,0.5875,0.3984
0,3,0.5819,0.7948,0.4721,0.3708,0.3566,0.8003,0.6554,0.9255,0.6093,0.3854
0,4,0.5742,0.7961,0.4635,0.3794,0.3567,0.8063,0.6508,0.9407,0.6472,0.361
1,0,0.5738,0.791,0.4686,0.3667,0.3525,0.7992,0.6535,0.925,0.6057,0.3821
1,1,0.5756,0.797,0.4824,0.3681,0.3596,0.7954,0.6613,0.9112,0.5829,0.4114
1,2,0.5698,0.7908,0.4718,0.3685,0.355,0.7992,0.6552,0.9235,0.6041,0.387
1,3,0.5818,0.7962,0.4952,0.3892,0.3784,0.8033,0.6682,0.9201,0.611,0.4163
1,4,0.5648,0.7837,0.469,0.3627,0.3503,0.7969,0.6538,0.9205,0.595,0.387
2,0,0.5715,0.791,0.4639,0.3635,0.3483,0.7988,0.651,0.9264,0.6063,0.3756
2,1,0.5876,0.7999,0.4763,0.3731,0.3599,0.8003,0.6577,0.9235,0.6071,0.3919
2,2,0.5633,0.7942,0.4818,0.3782,0.3656,0.8014,0.6607,0.923,0.6095,0.3984
2,3,0.5681,0.7878,0.4748,0.3715,0.3583,0.7999,0.6569,0.9235,0.6061,0.3902
2,4,0.5709,0.7896,0.4772,0.3833,0.3662,0.8052,0.658,0.9323,0.631,0.3837
