,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4523,0.7415,0.3277,0.2492,0.2215,0.7824,0.5885,0.9422,0.5426,0.2347
0,1,0.4895,0.7556,0.3531,0.2798,0.2496,0.7896,0.6,0.9459,0.5784,0.2541
0,2,0.4731,0.7537,0.3937,0.3011,0.2807,0.7901,0.6171,0.9326,0.5665,0.3016
0,3,0.4493,0.7344,0.2936,0.2275,0.1944,0.7806,0.5757,0.9496,0.5389,0.2017
0,4,0.4412,0.7311,0.3076,0.228,0.201,0.778,0.5798,0.9414,0.5208,0.2182
1,0,0.4585,0.741,0.303,0.2392,0.2048,0.7833,0.5798,0.951,0.5541,0.2085
1,1,0.46,0.7465,0.3442,0.263,0.2365,0.7846,0.5954,0.9405,0.5513,0.2502
1,2,0.4985,0.7643,0.4241,0.3271,0.3098,0.7947,0.6318,0.9289,0.5789,0.3346
1,3,0.4541,0.7301,0.2878,0.2282,0.1921,0.7819,0.5741,0.9533,0.5492,0.195
1,4,0.4856,0.7593,0.3797,0.2834,0.2642,0.7852,0.6102,0.9295,0.5464,0.291
2,0,0.4945,0.7605,0.4055,0.3126,0.2928,0.7925,0.6228,0.9323,0.5747,0.3133
2,1,0.4484,0.7352,0.3083,0.2377,0.2065,0.7817,0.5812,0.9471,0.5428,0.2153
2,2,0.4653,0.7429,0.3225,0.2544,0.2217,0.7854,0.5874,0.9488,0.5628,0.226
2,3,0.4714,0.7459,0.3641,0.2759,0.2528,0.7857,0.6037,0.9357,0.5523,0.2716
2,4,0.4497,0.7356,0.3157,0.234,0.2078,0.7787,0.583,0.94,0.5236,0.226
