,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4607,0.735,0.3081,0.2601,0.2202,0.7991,0.5844,0.9595,0.5842,0.2092
0,1,0.4708,0.7358,0.2663,0.244,0.191,0.7995,0.5704,0.9706,0.6115,0.1702
0,2,0.5114,0.7554,0.401,0.3345,0.305,0.8108,0.6235,0.9508,0.6208,0.2961
0,3,0.5019,0.7502,0.3838,0.325,0.2909,0.8101,0.6159,0.9552,0.6265,0.2766
0,4,0.4865,0.7491,0.354,0.2899,0.2582,0.8021,0.6024,0.9513,0.5861,0.2535
1,0,0.4627,0.7218,0.3042,0.2747,0.2243,0.804,0.5843,0.9682,0.6313,0.2004
1,1,0.4955,0.7452,0.3698,0.3193,0.2804,0.8101,0.6101,0.9595,0.6364,0.2606
1,2,0.4919,0.7532,0.3506,0.2843,0.2537,0.8006,0.6008,0.9499,0.5772,0.2518
1,3,0.4609,0.7438,0.2616,0.2482,0.19,0.801,0.5694,0.974,0.6327,0.1649
1,4,0.4785,0.7369,0.3488,0.2906,0.2558,0.8033,0.6006,0.9547,0.5966,0.2465
2,0,0.4884,0.7427,0.3454,0.3016,0.2588,0.8074,0.6,0.9624,0.6321,0.2376
2,1,0.5031,0.7517,0.4203,0.341,0.3187,0.8097,0.6324,0.9421,0.6026,0.3227
2,2,0.4796,0.7385,0.366,0.2884,0.2636,0.7991,0.6069,0.9426,0.5625,0.2713
2,3,0.4993,0.7526,0.383,0.3165,0.2865,0.8071,0.6152,0.9503,0.6054,0.2801
2,4,0.4588,0.727,0.2324,0.2444,0.172,0.8021,0.5611,0.9822,0.681,0.1401
