,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4394,0.7591,0.3457,0.2612,0.243,0.8026,0.5995,0.9365,0.506,0.2625
0,1,0.434,0.7659,0.2969,0.2401,0.2087,0.806,0.5804,0.9546,0.5294,0.2062
0,2,0.4639,0.7622,0.3357,0.2681,0.242,0.8084,0.5961,0.9484,0.5392,0.2438
0,3,0.4163,0.7437,0.2464,0.2028,0.1664,0.8026,0.5619,0.9613,0.5098,0.1625
0,4,0.4504,0.7558,0.3333,0.2742,0.2437,0.8113,0.5955,0.9535,0.5588,0.2375
1,0,0.4363,0.7578,0.3228,0.2537,0.2282,0.8055,0.5903,0.9473,0.5234,0.2333
1,1,0.4512,0.7591,0.3077,0.2472,0.2176,0.8064,0.5846,0.9525,0.5306,0.2167
1,2,0.4576,0.7591,0.3588,0.2833,0.2613,0.8093,0.606,0.9432,0.5397,0.2688
1,3,0.4668,0.7679,0.3879,0.3148,0.2924,0.8159,0.6195,0.9453,0.5709,0.2937
1,4,0.4134,0.7487,0.3168,0.2379,0.217,0.8002,0.587,0.9406,0.4934,0.2333
2,0,0.4523,0.7585,0.3745,0.2926,0.2739,0.8093,0.613,0.9386,0.537,0.2875
2,1,0.4607,0.7646,0.3888,0.303,0.2866,0.8101,0.6198,0.9355,0.5387,0.3042
2,2,0.4498,0.7641,0.342,0.2767,0.2494,0.8105,0.5989,0.9499,0.5509,0.2479
2,3,0.4437,0.7672,0.2956,0.2417,0.2089,0.8068,0.5801,0.9561,0.5355,0.2042
2,4,0.4697,0.7808,0.3631,0.2905,0.2672,0.8113,0.6081,0.9453,0.5508,0.2708
