,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6688,0.7811,0.5415,0.3746,0.3555,0.7214,0.6645,0.8865,0.6979,0.4424
0,1,0.671,0.7859,0.545,0.3739,0.3566,0.7209,0.6655,0.8816,0.6922,0.4495
0,2,0.6805,0.791,0.5704,0.3965,0.3826,0.7297,0.6793,0.8761,0.6976,0.4824
0,3,0.669,0.7848,0.5626,0.3801,0.3681,0.7225,0.673,0.8663,0.68,0.4798
0,4,0.6511,0.7759,0.5128,0.3454,0.3241,0.7099,0.6488,0.8873,0.6832,0.4104
1,0,0.678,0.787,0.5604,0.3891,0.3733,0.7269,0.6741,0.8803,0.6984,0.4679
1,1,0.6489,0.7725,0.5495,0.3686,0.3548,0.7181,0.6659,0.8696,0.6774,0.4622
1,2,0.6677,0.7858,0.5794,0.3926,0.3835,0.7269,0.6818,0.8579,0.6783,0.5057
1,3,0.6808,0.7909,0.5681,0.3997,0.3838,0.7313,0.6791,0.8832,0.7065,0.475
1,4,0.6666,0.7835,0.5567,0.377,0.3636,0.7215,0.6703,0.8704,0.6824,0.4701
2,0,0.662,0.7831,0.5542,0.3811,0.3654,0.7236,0.6703,0.8787,0.6928,0.4618
2,1,0.675,0.785,0.5554,0.3849,0.3684,0.7253,0.6715,0.8816,0.6977,0.4613
2,2,0.6826,0.7946,0.5782,0.4002,0.3885,0.7308,0.683,0.8699,0.6931,0.496
2,3,0.6746,0.7864,0.5484,0.3715,0.3564,0.7196,0.6662,0.8746,0.6837,0.4578
2,4,0.6756,0.7855,0.569,0.3935,0.38,0.7284,0.6782,0.8743,0.6943,0.482
