,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7786,0.8296,0.7149,0.5029,0.5029,0.7568,0.7512,0.7904,0.7177,0.712
0,1,0.7779,0.828,0.7126,0.4917,0.4915,0.75,0.7467,0.7695,0.7016,0.724
0,2,0.7888,0.8421,0.7068,0.4889,0.4889,0.75,0.7442,0.7844,0.7097,0.704
0,3,0.7703,0.8202,0.6973,0.4548,0.4535,0.7295,0.7293,0.7305,0.6691,0.728
0,4,0.7751,0.8152,0.6968,0.4482,0.4456,0.7243,0.7263,0.7126,0.6584,0.74
1,0,0.7946,0.8406,0.7283,0.5066,0.5039,0.7534,0.7558,0.7395,0.6893,0.772
1,1,0.7827,0.8319,0.6994,0.5022,0.4991,0.7586,0.7457,0.8353,0.7489,0.656
1,2,0.7592,0.8159,0.6884,0.4628,0.4625,0.738,0.7302,0.7844,0.7012,0.676
1,3,0.7532,0.8011,0.6974,0.443,0.4384,0.7192,0.7238,0.6916,0.6473,0.756
1,4,0.7852,0.8301,0.6895,0.4387,0.4371,0.7209,0.7213,0.7186,0.6582,0.724
2,0,0.775,0.8261,0.7148,0.4842,0.4822,0.7432,0.7443,0.7365,0.6812,0.752
2,1,0.7573,0.8105,0.6891,0.4322,0.4293,0.7158,0.7183,0.7006,0.6479,0.736
2,2,0.7744,0.8306,0.7134,0.5109,0.5102,0.762,0.7532,0.8144,0.7362,0.692
2,3,0.801,0.8441,0.7328,0.5371,0.537,0.774,0.7677,0.8114,0.7418,0.724
2,4,0.7573,0.8103,0.7008,0.4573,0.4551,0.7295,0.7308,0.7216,0.6655,0.74
