,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5674,0.7837,0.4655,0.376,0.3561,0.8044,0.6519,0.9362,0.6348,0.3675
0,1,0.5787,0.7919,0.4686,0.3735,0.3563,0.8026,0.6535,0.9313,0.6226,0.3756
0,2,0.5855,0.7903,0.4839,0.378,0.3665,0.8007,0.6619,0.9205,0.6049,0.4033
0,3,0.5805,0.7926,0.4601,0.3719,0.351,0.8037,0.6491,0.9372,0.6343,0.361
0,4,0.5745,0.8019,0.4783,0.3756,0.3623,0.8011,0.6587,0.924,0.6096,0.3935
1,0,0.5766,0.7895,0.4737,0.3647,0.3537,0.7965,0.6564,0.9176,0.5912,0.3951
1,1,0.5892,0.7988,0.4905,0.3976,0.3809,0.809,0.665,0.9333,0.6421,0.3967
1,2,0.5732,0.7919,0.4579,0.3651,0.3462,0.8011,0.648,0.9333,0.6212,0.3626
1,3,0.5815,0.7938,0.4601,0.3719,0.351,0.8037,0.6491,0.9372,0.6343,0.361
1,4,0.5949,0.7988,0.5073,0.4062,0.3944,0.809,0.6747,0.925,0.6304,0.4244
2,0,0.5733,0.7844,0.475,0.3838,0.3653,0.806,0.6568,0.9348,0.6366,0.3789
2,1,0.5707,0.7899,0.4699,0.3711,0.3556,0.8011,0.6542,0.9279,0.6142,0.3805
2,2,0.5893,0.8027,0.473,0.3888,0.3668,0.8086,0.6557,0.9407,0.6533,0.3707
2,3,0.5783,0.7933,0.4672,0.3836,0.3609,0.8075,0.6527,0.9411,0.6512,0.3642
2,4,0.5799,0.7956,0.482,0.3742,0.3633,0.7992,0.6609,0.9186,0.599,0.4033
