,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5136,0.7756,0.4028,0.3174,0.2941,0.7953,0.6219,0.9383,0.591,0.3055
0,1,0.5546,0.7978,0.4616,0.3676,0.3511,0.8047,0.651,0.9315,0.6122,0.3705
0,2,0.5588,0.7982,0.471,0.3714,0.3579,0.8041,0.6561,0.9261,0.6039,0.386
0,3,0.5375,0.7871,0.4308,0.3339,0.3169,0.7962,0.6352,0.9289,0.5837,0.3414
0,4,0.5496,0.7925,0.4504,0.3586,0.3404,0.8032,0.6452,0.9335,0.6103,0.3569
1,0,0.5408,0.7951,0.4582,0.3584,0.3442,0.801,0.6493,0.9261,0.5953,0.3725
1,1,0.5469,0.7946,0.4408,0.3563,0.3342,0.8043,0.6404,0.9394,0.6219,0.3414
1,2,0.5562,0.7914,0.4583,0.3691,0.3502,0.8063,0.6492,0.9357,0.6223,0.3628
1,3,0.5399,0.7862,0.4628,0.366,0.3508,0.8036,0.6517,0.9289,0.606,0.3744
1,4,0.5501,0.7921,0.4617,0.3667,0.3506,0.8043,0.6511,0.9306,0.6099,0.3715
2,0,0.5419,0.7922,0.4273,0.3518,0.3246,0.805,0.634,0.9459,0.6348,0.322
2,1,0.5396,0.7908,0.4597,0.3698,0.3512,0.8063,0.6499,0.9352,0.6215,0.3647
2,2,0.5406,0.7801,0.4455,0.348,0.3321,0.7993,0.6427,0.9284,0.5926,0.3569
2,3,0.5508,0.7908,0.4625,0.3633,0.349,0.8023,0.6515,0.9267,0.5997,0.3763
2,4,0.5391,0.7866,0.4303,0.3463,0.3234,0.8021,0.6352,0.9397,0.6155,0.3307
