,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.535,0.7789,0.413,0.3498,0.3189,0.8146,0.6291,0.9532,0.6394,0.305
0,1,0.5529,0.7877,0.4029,0.349,0.3127,0.8158,0.6247,0.9585,0.656,0.2908
0,2,0.5455,0.7817,0.4198,0.3499,0.3228,0.8135,0.6322,0.9489,0.6268,0.3156
0,3,0.5498,0.7783,0.4176,0.3814,0.335,0.8245,0.6315,0.9687,0.7186,0.2943
0,4,0.537,0.7782,0.401,0.3614,0.3166,0.8199,0.6241,0.9662,0.6943,0.2819
1,0,0.5406,0.7831,0.3573,0.3403,0.2811,0.8173,0.6063,0.9749,0.7204,0.2376
1,1,0.5323,0.7746,0.3899,0.3455,0.3034,0.8161,0.6191,0.9634,0.671,0.2748
1,2,0.5437,0.785,0.4098,0.3571,0.3203,0.8177,0.6278,0.9595,0.6653,0.2961
1,3,0.5422,0.7802,0.4373,0.3783,0.3461,0.8215,0.6405,0.9566,0.6703,0.3245
1,4,0.5352,0.7784,0.4159,0.3541,0.3226,0.8158,0.6305,0.9542,0.6455,0.3067
2,0,0.5473,0.7821,0.4232,0.3665,0.3324,0.8192,0.6339,0.9576,0.6654,0.3103
2,1,0.5352,0.7723,0.3955,0.3462,0.3071,0.8158,0.6214,0.9609,0.6625,0.2819
2,2,0.5546,0.7897,0.4316,0.3572,0.3329,0.8143,0.6379,0.946,0.6242,0.3298
2,3,0.5355,0.7771,0.4158,0.351,0.3211,0.8146,0.6304,0.9523,0.6374,0.3085
2,4,0.5488,0.7882,0.4303,0.3642,0.3356,0.8173,0.6372,0.9518,0.6454,0.3227
