,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4712,0.7808,0.3183,0.2687,0.2333,0.8122,0.5898,0.9587,0.5699,0.2208
0,1,0.4991,0.7905,0.4116,0.3276,0.3113,0.8155,0.631,0.937,0.5612,0.325
0,2,0.5005,0.7978,0.4044,0.3324,0.31,0.8196,0.6273,0.9463,0.5873,0.3083
0,3,0.4827,0.7808,0.4111,0.329,0.3118,0.8163,0.6307,0.9386,0.5657,0.3229
0,4,0.4581,0.7797,0.3343,0.2643,0.2393,0.8072,0.5953,0.9468,0.5318,0.2438
1,0,0.4905,0.7929,0.3669,0.2965,0.2722,0.813,0.6099,0.9468,0.5598,0.2729
1,1,0.4692,0.7839,0.3526,0.2816,0.2573,0.8101,0.6034,0.9463,0.5459,0.2604
1,2,0.4878,0.7862,0.3847,0.3232,0.2948,0.82,0.6182,0.953,0.5991,0.2833
1,3,0.4781,0.781,0.3521,0.2804,0.2564,0.8097,0.6031,0.9458,0.5435,0.2604
1,4,0.4762,0.7829,0.3913,0.314,0.2937,0.8146,0.6211,0.9422,0.5625,0.3
2,0,0.4752,0.784,0.372,0.3022,0.2777,0.8142,0.6122,0.9473,0.566,0.2771
2,1,0.4719,0.7886,0.3453,0.2816,0.2536,0.8118,0.6005,0.951,0.5581,0.25
2,2,0.4889,0.7888,0.4011,0.3307,0.3074,0.8196,0.6258,0.9473,0.5887,0.3042
2,3,0.4816,0.7836,0.3662,0.298,0.2726,0.8138,0.6096,0.9484,0.5652,0.2708
2,4,0.4859,0.7836,0.4098,0.3363,0.3149,0.82,0.6299,0.9453,0.5875,0.3146
