,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7114,0.8095,0.6334,0.4449,0.4418,0.7469,0.7144,0.841,0.6865,0.5879
0,1,0.7094,0.8115,0.6329,0.4459,0.4424,0.7475,0.7144,0.8436,0.6891,0.5852
0,2,0.7003,0.8023,0.6196,0.426,0.4226,0.7387,0.7047,0.8374,0.6757,0.5721
0,3,0.7083,0.8101,0.6429,0.4502,0.4487,0.7477,0.7198,0.8288,0.6787,0.6107
0,4,0.7198,0.8152,0.6323,0.4445,0.4412,0.7469,0.7139,0.8426,0.6877,0.5852
1,0,0.7043,0.8091,0.6399,0.4489,0.4468,0.7477,0.7181,0.8335,0.6819,0.6028
1,1,0.7113,0.8096,0.637,0.4487,0.4459,0.7483,0.7168,0.84,0.6872,0.5936
1,2,0.7034,0.8082,0.6288,0.4358,0.4332,0.7424,0.7107,0.8348,0.6777,0.5866
1,3,0.7104,0.8105,0.6237,0.446,0.4393,0.7491,0.7104,0.8618,0.7055,0.5589
1,4,0.7158,0.8115,0.6412,0.4528,0.4504,0.7498,0.7195,0.8379,0.6871,0.6011
2,0,0.7145,0.8137,0.6371,0.4474,0.4449,0.7475,0.7166,0.8374,0.6845,0.5958
2,1,0.7116,0.81,0.6399,0.4491,0.447,0.7478,0.7182,0.834,0.6824,0.6024
2,2,0.7082,0.8087,0.635,0.4505,0.4468,0.7498,0.7162,0.8473,0.6941,0.5852
2,3,0.712,0.8107,0.639,0.4448,0.4433,0.7454,0.7169,0.828,0.676,0.6059
2,4,0.7057,0.8079,0.6344,0.4495,0.4457,0.7493,0.7158,0.8467,0.6932,0.5848
