,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7721,0.8256,0.7071,0.4917,0.4917,0.7517,0.7452,0.7904,0.7143,0.7
0,1,0.7694,0.8235,0.6798,0.4328,0.4326,0.7209,0.7173,0.7425,0.668,0.692
0,2,0.7666,0.8369,0.7206,0.5161,0.516,0.7637,0.7572,0.8024,0.7295,0.712
0,3,0.7774,0.8285,0.7011,0.4618,0.4604,0.7329,0.7328,0.7335,0.6728,0.732
0,4,0.783,0.8443,0.7287,0.5151,0.5143,0.7603,0.7592,0.7665,0.7068,0.752
1,0,0.7624,0.8234,0.7057,0.4651,0.4626,0.7329,0.7348,0.7216,0.6679,0.748
1,1,0.7553,0.8169,0.7004,0.453,0.4499,0.726,0.7288,0.7096,0.6585,0.748
1,2,0.795,0.8403,0.7104,0.4811,0.4802,0.7432,0.7423,0.7485,0.6866,0.736
1,3,0.7831,0.8243,0.7023,0.4626,0.461,0.7329,0.7333,0.7305,0.6715,0.736
1,4,0.7831,0.8262,0.7033,0.4746,0.4743,0.7414,0.7382,0.7605,0.6911,0.716
2,0,0.782,0.8251,0.711,0.4772,0.4753,0.7397,0.7408,0.7335,0.6775,0.748
2,1,0.7875,0.843,0.7403,0.5231,0.5174,0.7586,0.7643,0.7246,0.686,0.804
2,2,0.7847,0.837,0.705,0.4803,0.4803,0.7449,0.7407,0.7695,0.698,0.712
2,3,0.7745,0.8312,0.7165,0.4986,0.4984,0.7534,0.7502,0.7725,0.7054,0.728
2,4,0.7778,0.8338,0.7222,0.5115,0.5114,0.7603,0.7562,0.7844,0.7165,0.728
