,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.5715,0.7784,0.4486,0.3624,0.3399,0.8018,0.6433,0.9387,0.6313,0.348
0,1,0.5469,0.7868,0.4442,0.3355,0.3226,0.7898,0.6406,0.9186,0.5733,0.3626
0,2,0.5613,0.7845,0.4706,0.3761,0.3588,0.8033,0.6545,0.9318,0.6253,0.3772
0,3,0.589,0.7963,0.4672,0.3836,0.3609,0.8075,0.6527,0.9411,0.6512,0.3642
0,4,0.5385,0.7774,0.4084,0.3129,0.2929,0.7882,0.6231,0.9308,0.5791,0.3154
1,0,0.5644,0.7838,0.4458,0.3442,0.3285,0.7939,0.6416,0.9255,0.5914,0.3577
1,1,0.5708,0.7876,0.4731,0.3728,0.3582,0.8011,0.6559,0.9264,0.6124,0.3854
1,2,0.5693,0.7882,0.4876,0.39,0.3752,0.806,0.6636,0.9289,0.6282,0.3984
1,3,0.5525,0.7751,0.4272,0.3562,0.3251,0.8029,0.6333,0.9495,0.6544,0.3171
1,4,0.5446,0.7802,0.4036,0.3415,0.3048,0.8007,0.6227,0.9544,0.6581,0.2911
2,0,0.5436,0.7738,0.4372,0.3239,0.3124,0.7856,0.6368,0.9142,0.5581,0.3593
2,1,0.5666,0.7909,0.4511,0.3449,0.3314,0.7928,0.6443,0.921,0.584,0.3675
2,2,0.5718,0.7971,0.4588,0.373,0.3509,0.8044,0.6485,0.9392,0.6395,0.3577
2,3,0.5651,0.7903,0.4373,0.3428,0.3236,0.7954,0.6375,0.9318,0.6029,0.3431
2,4,0.5576,0.7804,0.4151,0.3341,0.3076,0.7962,0.6272,0.9421,0.6194,0.3122
