,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4354,0.7336,0.3243,0.248,0.2192,0.7826,0.5873,0.9437,0.5446,0.2308
0,1,0.4521,0.7324,0.3333,0.2636,0.2316,0.787,0.5918,0.9479,0.5691,0.2357
0,2,0.4683,0.7367,0.3057,0.2571,0.2146,0.789,0.5824,0.9592,0.5955,0.2056
0,3,0.4523,0.7393,0.3679,0.2709,0.2517,0.7824,0.6046,0.9289,0.5352,0.2803
0,4,0.4817,0.7546,0.3498,0.2788,0.2475,0.7898,0.5988,0.9473,0.5811,0.2502
1,0,0.4743,0.7523,0.3653,0.2755,0.2531,0.7852,0.6041,0.9346,0.5497,0.2735
1,1,0.4468,0.7327,0.3302,0.2439,0.2196,0.7795,0.5887,0.9369,0.5265,0.2405
1,2,0.4541,0.7338,0.3351,0.2536,0.2272,0.7826,0.5914,0.9403,0.5423,0.2425
1,3,0.4705,0.7462,0.3587,0.2813,0.2531,0.7892,0.6021,0.9434,0.5736,0.2609
1,4,0.4714,0.7504,0.3739,0.2811,0.2602,0.7857,0.6078,0.9323,0.5499,0.2832
2,0,0.4777,0.7532,0.4027,0.2995,0.2839,0.7868,0.6208,0.9236,0.5485,0.3181
2,1,0.4731,0.7547,0.3926,0.3015,0.2805,0.7905,0.6167,0.9337,0.5691,0.2997
2,2,0.4534,0.7345,0.288,0.2422,0.1988,0.7865,0.5757,0.9604,0.5846,0.1911
2,3,0.4565,0.7367,0.3268,0.2654,0.2293,0.7887,0.5898,0.9527,0.5835,0.227
2,4,0.4792,0.7504,0.3746,0.2783,0.2589,0.7841,0.6078,0.9295,0.5423,0.2861
