,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4992,0.7656,0.2788,0.2826,0.2122,0.8078,0.577,0.9802,0.705,0.1738
0,1,0.5075,0.7623,0.3417,0.3091,0.2597,0.8101,0.5991,0.9677,0.6599,0.2305
0,2,0.4797,0.7495,0.26,0.2589,0.193,0.8036,0.5698,0.9783,0.6691,0.1613
0,3,0.4051,0.6915,0.102,0.1559,0.0733,0.793,0.5243,0.9937,0.7045,0.055
0,4,0.4792,0.7539,0.2387,0.2443,0.1756,0.8017,0.5628,0.9802,0.6667,0.1454
1,0,0.4913,0.7475,0.2734,0.2851,0.2097,0.8086,0.5755,0.9826,0.7252,0.1684
1,1,0.4847,0.7463,0.3015,0.2711,0.2213,0.8033,0.5831,0.9677,0.6257,0.1986
1,2,0.4858,0.7618,0.1385,0.1959,0.1033,0.7972,0.5347,0.9932,0.7544,0.0762
1,3,0.3653,0.6772,0.0,0.0,0.0,0.7862,0.5,1.0,0.0,0.0
1,4,0.5083,0.7641,0.2894,0.3047,0.2258,0.812,0.5816,0.9841,0.7537,0.1791
2,0,0.4593,0.7496,0.126,0.1763,0.0915,0.7949,0.5307,0.9923,0.7091,0.0691
2,1,0.4813,0.7468,0.2294,0.2399,0.1688,0.8014,0.56,0.9817,0.6724,0.1383
2,2,0.4922,0.7523,0.2386,0.2554,0.1791,0.804,0.5636,0.9836,0.7043,0.1436
2,3,0.4952,0.7511,0.2222,0.2503,0.1677,0.8036,0.5589,0.9865,0.7255,0.1312
2,4,0.5172,0.7646,0.3085,0.2979,0.2356,0.8097,0.5872,0.9759,0.6914,0.1986
