,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4628,0.7847,0.3358,0.2765,0.2462,0.8118,0.5966,0.9535,0.561,0.2396
0,1,0.4685,0.7823,0.2835,0.2377,0.2009,0.8076,0.576,0.9602,0.5444,0.1917
0,2,0.459,0.7815,0.2998,0.261,0.2199,0.8126,0.583,0.9639,0.5808,0.2021
0,3,0.4702,0.7835,0.2391,0.2366,0.1763,0.813,0.5629,0.9778,0.6228,0.1479
0,4,0.4567,0.7813,0.2808,0.2413,0.2011,0.8093,0.5754,0.9633,0.559,0.1875
1,0,0.452,0.777,0.321,0.2666,0.2337,0.8109,0.5906,0.9561,0.5596,0.225
1,1,0.4684,0.7826,0.2667,0.2492,0.1966,0.8134,0.5717,0.9726,0.6074,0.1708
1,2,0.4558,0.7814,0.2958,0.2539,0.2146,0.8109,0.5812,0.9623,0.568,0.2
1,3,0.4411,0.7785,0.2543,0.2097,0.1734,0.8035,0.5648,0.9608,0.5159,0.1688
1,4,0.4373,0.7683,0.2118,0.1957,0.1462,0.806,0.5522,0.9732,0.5478,0.1312
2,0,0.4721,0.782,0.2949,0.2778,0.2237,0.818,0.5824,0.9732,0.6389,0.1917
2,1,0.4638,0.7906,0.3,0.2679,0.2228,0.8146,0.5835,0.967,0.6,0.2
2,2,0.4541,0.7803,0.2599,0.2229,0.1822,0.8068,0.5676,0.9644,0.543,0.1708
2,3,0.4705,0.7906,0.2642,0.2238,0.1847,0.8064,0.5689,0.9628,0.5385,0.175
2,4,0.4481,0.7745,0.2667,0.233,0.1901,0.8089,0.5705,0.9659,0.56,0.175
