,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.6602,0.7744,0.5981,0.3895,0.387,0.7217,0.688,0.8194,0.6461,0.5567
0,1,0.6527,0.7703,0.5767,0.3737,0.3683,0.7171,0.6765,0.835,0.6503,0.518
0,2,0.6573,0.7752,0.5941,0.3868,0.3838,0.721,0.6859,0.8231,0.6475,0.5488
0,3,0.6624,0.7763,0.5988,0.3909,0.3883,0.7223,0.6887,0.8202,0.6473,0.5571
0,4,0.6591,0.7773,0.5885,0.3813,0.3778,0.7191,0.6826,0.8251,0.6465,0.54
1,0,0.6533,0.7691,0.5744,0.3667,0.3621,0.7135,0.674,0.8283,0.6419,0.5198
1,1,0.6623,0.7764,0.5896,0.3887,0.3841,0.7232,0.6847,0.8348,0.6571,0.5347
1,2,0.6522,0.7729,0.5608,0.358,0.3512,0.7112,0.6673,0.8389,0.6457,0.4956
1,3,0.646,0.7628,0.5741,0.3637,0.3596,0.7119,0.6732,0.8244,0.6377,0.522
1,4,0.6548,0.7696,0.5974,0.3906,0.3877,0.7225,0.6881,0.8225,0.6488,0.5536
2,0,0.6467,0.7617,0.5645,0.363,0.3563,0.7134,0.6698,0.84,0.649,0.4996
2,1,0.6475,0.7692,0.5843,0.3716,0.3687,0.7142,0.6787,0.8173,0.6365,0.54
2,2,0.6524,0.7692,0.5711,0.3678,0.362,0.7148,0.6732,0.8358,0.6481,0.5105
2,3,0.664,0.7742,0.564,0.3784,0.3675,0.7215,0.6731,0.8621,0.6752,0.4842
2,4,0.6775,0.7831,0.5924,0.3939,0.389,0.7256,0.687,0.8379,0.662,0.536
