,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.752,0.7984,0.6409,0.4087,0.4055,0.714,0.6992,0.8024,0.693,0.596
0,1,0.7408,0.7859,0.6755,0.4097,0.4075,0.7055,0.7068,0.6976,0.6393,0.716
0,2,0.7485,0.7971,0.6989,0.4479,0.4441,0.7226,0.7263,0.7006,0.6528,0.752
0,3,0.7506,0.7933,0.6653,0.4157,0.4157,0.714,0.7077,0.7515,0.6667,0.664
0,4,0.7508,0.789,0.6561,0.396,0.3959,0.7038,0.6983,0.7365,0.6522,0.66
1,0,0.7425,0.79,0.6338,0.3946,0.3919,0.7072,0.6927,0.7934,0.682,0.592
1,1,0.7541,0.7945,0.6381,0.4018,0.399,0.7106,0.6962,0.7964,0.6866,0.596
1,2,0.7599,0.7986,0.6653,0.4211,0.421,0.7175,0.7097,0.7635,0.6749,0.656
1,3,0.7465,0.7966,0.7004,0.453,0.4499,0.726,0.7288,0.7096,0.6585,0.748
1,4,0.741,0.7916,0.6783,0.4248,0.4241,0.7158,0.7138,0.7275,0.6579,0.7
2,0,0.7399,0.7877,0.683,0.4235,0.4212,0.7123,0.7138,0.7036,0.6464,0.724
2,1,0.7537,0.7952,0.6528,0.4113,0.4104,0.714,0.7032,0.7784,0.6797,0.628
2,2,0.7393,0.7872,0.6474,0.398,0.3975,0.7072,0.6972,0.7665,0.6681,0.628
2,3,0.7453,0.7894,0.6477,0.3925,0.3923,0.7038,0.6952,0.7545,0.6598,0.636
2,4,0.7511,0.7935,0.6653,0.4296,0.4289,0.7226,0.7127,0.7814,0.688,0.644
