,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3954,0.703,0.1318,0.1439,0.0855,0.7889,0.5293,0.9838,0.5579,0.0748
0,1,0.3784,0.6846,0.265,0.2006,0.1704,0.7853,0.5654,0.9503,0.4981,0.1805
0,2,0.3442,0.6709,0.0892,0.092,0.0497,0.7838,0.5168,0.9842,0.4605,0.0494
1,0,0.3489,0.6769,0.0969,0.1085,0.0583,0.7859,0.5197,0.9858,0.5067,0.0536
1,1,0.3284,0.6491,0.1838,0.1224,0.097,0.7744,0.536,0.9534,0.4098,0.1185
1,2,0.3546,0.6874,0.2661,0.1461,0.1367,0.7581,0.5568,0.9092,0.3806,0.2045
2,0,0.3835,0.6971,0.2195,0.1811,0.1407,0.7871,0.5517,0.9638,0.513,0.1396
2,1,0.3225,0.6255,0.198,0.1389,0.1109,0.7771,0.5413,0.9542,0.4333,0.1283
2,2,0.3805,0.6917,0.3655,0.2476,0.2386,0.7774,0.6035,0.908,0.4701,0.299
