,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.249,0.5906,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
0,1,0.4093,0.6341,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
0,2,0.4171,0.6785,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
1,0,0.2449,0.5922,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
1,1,0.3991,0.7213,0.1848,0.1794,0.1262,0.8047,0.5442,0.9773,0.5489,0.1111
1,2,0.3558,0.6909,0.1499,0.1424,0.0954,0.8004,0.533,0.9777,0.4957,0.0883
2,0,0.2584,0.5924,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
2,1,0.3683,0.7191,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
2,2,0.3838,0.7182,0.2076,0.1852,0.1398,0.8032,0.5501,0.9708,0.5247,0.1294
