,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3151,0.6134,0.2253,0.1528,0.1297,0.7814,0.5495,0.9459,0.4257,0.1532
0,1,0.2858,0.5835,0.0,0.0,0.0,0.7925,0.5,1.0,0.0,0.0
0,2,0.2963,0.6007,0.1628,0.1188,0.0889,0.7841,0.532,0.9629,0.4167,0.1012
1,0,0.344,0.6414,0.2227,0.164,0.1349,0.7865,0.5506,0.9538,0.4554,0.1474
1,1,0.278,0.5758,0.0559,0.0491,0.0241,0.7874,0.508,0.9856,0.3559,0.0303
1,2,0.2761,0.5959,0.0512,0.0525,0.0239,0.7889,0.5079,0.9883,0.38,0.0275
2,0,0.3736,0.6581,0.2711,0.2033,0.1759,0.7904,0.568,0.9482,0.4869,0.1879
2,1,0.2838,0.5808,0.1406,0.1149,0.079,0.7874,0.5277,0.9716,0.4361,0.0838
2,2,0.2717,0.5922,0.122,0.0768,0.0544,0.7799,0.5193,0.9648,0.3542,0.0737
