,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3571,0.6857,0.0639,0.0839,0.0371,0.782,0.5123,0.9905,0.5,0.0341
0,1,0.2605,0.5991,0.0,0.0,0.0,0.782,0.5,1.0,0.0,0.0
0,2,0.3274,0.6488,0.0274,0.0587,0.0165,0.7824,0.5053,0.9966,0.5385,0.0141
1,0,0.3822,0.6861,0.0313,0.0728,0.0204,0.7833,0.5066,0.9972,0.6154,0.0161
1,1,0.2897,0.6511,0.0399,-0.0054,-0.0029,0.768,0.499,0.9759,0.2037,0.0221
1,2,0.3574,0.6584,0.1081,0.1194,0.0663,0.7833,0.5226,0.9849,0.5263,0.0602
2,0,0.2941,0.6288,0.0,0.0,0.0,0.782,0.5,1.0,0.0,0.0
2,1,0.2063,0.4966,0.0,0.0,0.0,0.782,0.5,1.0,0.0,0.0
2,2,0.3326,0.6334,0.0159,0.0793,0.0125,0.7837,0.504,1.0,1.0,0.008
