,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3878,0.5906,0.3417,0.1103,0.1064,0.6397,0.5487,0.8115,0.4243,0.2859
0,1,0.6641,0.5117,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
0,2,0.3018,0.4715,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
0,3,0.4307,0.565,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
0,4,0.3342,0.5108,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
1,0,0.3821,0.58,0.2879,0.087,0.0798,0.6441,0.5351,0.8501,0.4163,0.22
1,1,0.399,0.5783,0.3232,0.1033,0.098,0.6421,0.5442,0.827,0.4234,0.2614
1,2,0.4445,0.5622,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
1,3,0.6635,0.5,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
1,4,0.3553,0.5446,0.1286,0.0353,0.0233,0.6588,0.5092,0.9415,0.39,0.077
2,0,0.4564,0.5972,0.3657,0.1406,0.136,0.6505,0.5625,0.8169,0.4498,0.3081
2,1,0.3581,0.5524,0.2448,0.0481,0.0429,0.6355,0.5186,0.8565,0.3795,0.1807
2,2,0.3758,0.5728,0.2975,0.0694,0.0657,0.6299,0.5296,0.8195,0.3921,0.2397
2,3,0.3738,0.5676,0.16,0.0295,0.0221,0.6498,0.509,0.916,0.3711,0.102
2,4,0.3756,0.5655,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
