,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7094,0.7565,0.6555,0.3739,0.3739,0.6901,0.6869,0.7192,0.6564,0.6546
0,1,0.6489,0.7031,0.622,0.2798,0.2781,0.6386,0.6406,0.621,0.5881,0.6602
0,2,0.6766,0.728,0.5755,0.3164,0.3079,0.665,0.6505,0.7968,0.6704,0.5042
0,3,0.6762,0.7265,0.5953,0.3428,0.3348,0.6775,0.6639,0.8014,0.6848,0.5265
0,4,0.6845,0.7191,0.6178,0.3117,0.3116,0.66,0.6555,0.7009,0.6257,0.61
1,0,0.7139,0.7441,0.6546,0.3357,0.3326,0.665,0.6686,0.6324,0.6111,0.7047
1,1,0.6559,0.7162,0.5845,0.3011,0.2974,0.6575,0.6464,0.758,0.6443,0.5348
1,2,0.6832,0.7309,0.6045,0.3275,0.3245,0.67,0.6601,0.7603,0.6569,0.5599
1,3,0.7078,0.7404,0.5752,0.345,0.3297,0.6775,0.6601,0.8356,0.7073,0.4847
1,4,0.7059,0.7359,0.6325,0.3438,0.3435,0.6763,0.6711,0.7237,0.6472,0.6184
2,0,0.6889,0.7266,0.6323,0.3035,0.3021,0.6512,0.6525,0.6393,0.602,0.6657
2,1,0.6787,0.7383,0.6235,0.3612,0.3577,0.6863,0.6764,0.7763,0.6787,0.5766
2,2,0.6962,0.7397,0.5987,0.3564,0.3466,0.6838,0.6694,0.8151,0.6989,0.5237
2,3,0.6949,0.7324,0.6202,0.3462,0.344,0.6788,0.6701,0.758,0.6635,0.5822
2,4,0.6887,0.7218,0.5844,0.319,0.3124,0.6662,0.6531,0.7854,0.6655,0.5209
