,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3674,0.6694,0.0,0.0,0.0,0.7856,0.5,1.0,0.0,0.0
0,1,0.3436,0.6545,0.0,0.0,0.0,0.7856,0.5,1.0,0.0,0.0
0,2,0.3561,0.6699,0.1464,0.1194,0.0823,0.7814,0.5291,0.9707,0.4493,0.0874
1,0,0.3574,0.672,0.0,0.0,0.0,0.7856,0.5,1.0,0.0,0.0
1,1,0.3772,0.6663,0.1721,0.1848,0.119,0.7935,0.5414,0.9827,0.6121,0.1001
1,2,0.3603,0.6707,0.1302,0.1281,0.0793,0.7859,0.5274,0.98,0.5048,0.0748
2,0,0.3368,0.6649,0.0,0.0,0.0,0.7856,0.5,1.0,0.0,0.0
2,1,0.3707,0.6624,0.1027,0.1279,0.0667,0.7886,0.5224,0.9885,0.5714,0.0564
2,2,0.3576,0.6671,0.2601,0.18,0.157,0.778,0.5613,0.9407,0.4558,0.1819
