,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.2887,0.5984,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
0,1,0.3195,0.6474,0.0685,0.1008,0.0446,0.8019,0.5145,0.9924,0.5455,0.0365
0,2,0.3656,0.6861,0.2382,0.2046,0.1631,0.8041,0.5598,0.9659,0.5288,0.1537
1,0,0.2885,0.5979,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
1,1,0.3241,0.6492,0.0791,0.1097,0.0519,0.8022,0.517,0.9913,0.549,0.0426
1,2,0.3784,0.6998,0.3192,0.2213,0.2079,0.7904,0.5862,0.9258,0.4525,0.2466
2,0,0.2862,0.5967,0.0,0.0,0.0,0.8007,0.5,1.0,0.0,0.0
2,1,0.3475,0.6713,0.1006,0.1389,0.07,0.8047,0.523,0.9913,0.6102,0.0548
2,2,0.3922,0.7124,0.3191,0.2333,0.2152,0.7968,0.5873,0.9356,0.4801,0.239
