,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.355,0.6326,0.2555,0.2139,0.174,0.7973,0.5649,0.9622,0.537,0.1676
0,1,0.3059,0.5854,0.2009,0.1471,0.1175,0.7853,0.5435,0.9569,0.4412,0.1301
0,2,0.322,0.6245,0.1915,0.1548,0.1175,0.7898,0.5426,0.9652,0.4743,0.1199
1,0,0.3596,0.6385,0.3377,0.2116,0.2055,0.7706,0.5902,0.8986,0.4212,0.2818
1,1,0.3173,0.5982,0.1768,0.1592,0.1131,0.7934,0.54,0.9731,0.5103,0.1069
1,2,0.3314,0.6334,0.2449,0.18,0.1524,0.7874,0.5581,0.9501,0.4656,0.1662
2,0,0.3411,0.6253,0.2346,0.1828,0.1495,0.7907,0.5559,0.9572,0.4864,0.1546
2,1,0.3332,0.6142,0.2454,0.1915,0.1586,0.7916,0.5597,0.9561,0.4934,0.1633
2,2,0.3283,0.6268,0.1975,0.1603,0.1226,0.7904,0.5445,0.9648,0.4804,0.1243
