,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3624,0.6566,0.0945,0.1672,0.0708,0.7903,0.5234,0.9966,0.8065,0.0502
0,1,0.332,0.649,0.0,0.0,0.0,0.782,0.5,1.0,0.0,0.0
0,2,0.3529,0.6411,0.1257,0.1921,0.0943,0.7929,0.5316,0.995,0.7907,0.0683
1,0,0.3649,0.6605,0.094,0.154,0.068,0.789,0.5226,0.995,0.7353,0.0502
1,1,0.3349,0.6519,0.1359,0.1326,0.0829,0.7828,0.5288,0.9793,0.5132,0.0783
1,2,0.3649,0.6493,0.1371,0.1437,0.0874,0.785,0.5302,0.9821,0.5493,0.0783
2,0,0.3809,0.6605,0.1541,0.1462,0.0961,0.7837,0.5337,0.977,0.5233,0.0904
2,1,0.3397,0.6544,0.0863,0.1327,0.0594,0.7868,0.5197,0.9933,0.6571,0.0462
2,2,0.3503,0.6443,0.1068,0.1464,0.0733,0.7877,0.5246,0.991,0.6444,0.0582
