,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4121,0.5866,0.4009,0.1201,0.12,0.6173,0.5593,0.7269,0.4107,0.3916
0,1,0.4045,0.5763,0.3615,0.1186,0.116,0.6371,0.5541,0.794,0.4256,0.3142
0,2,0.4153,0.5774,0.3358,0.1234,0.1169,0.6502,0.5526,0.8348,0.443,0.2704
0,3,0.416,0.5846,0.1993,0.1159,0.0827,0.675,0.5333,0.9429,0.5127,0.1237
0,4,0.4548,0.601,0.1305,0.1546,0.0759,0.6875,0.5292,0.9867,0.7231,0.0717
1,0,0.4189,0.5898,0.3926,0.1302,0.1294,0.6307,0.5624,0.7598,0.4247,0.365
1,1,0.4227,0.5832,0.2647,0.1354,0.1112,0.6733,0.5464,0.913,0.5011,0.1798
1,2,0.4155,0.5765,0.2749,0.1224,0.1048,0.6658,0.5444,0.8951,0.473,0.1938
1,3,0.4182,0.5853,0.0466,0.0736,0.0231,0.6764,0.5087,0.9932,0.6344,0.0242
1,4,0.4551,0.601,0.0891,0.1469,0.0559,0.6852,0.5212,0.9952,0.8273,0.0471
2,0,0.4122,0.5859,0.3884,0.1156,0.1152,0.6212,0.5561,0.7442,0.4114,0.3679
2,1,0.4212,0.5823,0.2839,0.133,0.1142,0.6689,0.5485,0.8963,0.4847,0.2007
2,2,0.4091,0.5769,0.3466,0.1158,0.1118,0.6414,0.5513,0.8117,0.4287,0.2909
2,3,0.4116,0.584,0.0988,0.0931,0.0448,0.6774,0.5172,0.9803,0.5714,0.0541
2,4,0.4541,0.6005,0.1269,0.149,0.0728,0.6865,0.528,0.9863,0.7113,0.0696
