,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.7084,0.7469,0.6674,0.2953,0.2507,0.6085,0.6323,0.3927,0.5406,0.8719
0,1,0.6797,0.7258,0.6331,0.3669,0.3648,0.6888,0.6805,0.7648,0.6751,0.5961
0,2,0.6829,0.7388,0.5752,0.3361,0.3231,0.6738,0.6572,0.8242,0.6957,0.4903
0,3,0.6875,0.7233,0.5458,0.3166,0.2982,0.6637,0.6443,0.8402,0.697,0.4485
0,4,0.6984,0.7339,0.6252,0.354,0.3518,0.6826,0.674,0.7603,0.6677,0.5877
1,0,0.7185,0.7515,0.6794,0.3371,0.3055,0.6412,0.6594,0.4749,0.5685,0.844
1,1,0.663,0.7149,0.6218,0.328,0.3276,0.6688,0.663,0.7215,0.6401,0.6045
1,2,0.659,0.7154,0.6086,0.3453,0.3406,0.6788,0.6676,0.7808,0.6746,0.5543
1,3,0.6898,0.7298,0.5763,0.3032,0.2973,0.6587,0.6458,0.7763,0.6537,0.5153
1,4,0.6865,0.7272,0.5589,0.3326,0.3147,0.6713,0.6524,0.8425,0.7064,0.4624
2,0,0.7177,0.7496,0.6783,0.3276,0.2861,0.6286,0.6503,0.4315,0.5561,0.8691
2,1,0.6754,0.7217,0.6384,0.3331,0.333,0.6688,0.667,0.6849,0.628,0.649
2,2,0.6743,0.7308,0.5915,0.3322,0.3252,0.6725,0.6593,0.7922,0.675,0.5265
2,3,0.6932,0.7331,0.5479,0.3132,0.2965,0.6625,0.6437,0.8333,0.6907,0.454
2,4,0.6908,0.7312,0.62,0.3232,0.3228,0.6662,0.6607,0.7169,0.6364,0.6045
