,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.422,0.7341,0.3392,0.2684,0.2398,0.7962,0.5954,0.9469,0.5563,0.244
0,1,0.4056,0.6982,0.2533,0.2179,0.1732,0.7932,0.5643,0.965,0.5604,0.1636
0,2,0.4336,0.7214,0.2735,0.2312,0.1892,0.7944,0.5712,0.9619,0.5639,0.1805
1,0,0.356,0.6794,0.1482,0.1195,0.083,0.7811,0.5294,0.97,0.4468,0.0889
1,1,0.4125,0.6943,0.2192,0.2026,0.1497,0.7932,0.554,0.9727,0.5749,0.1354
1,2,0.4406,0.7218,0.2976,0.2656,0.2167,0.8016,0.5815,0.9669,0.6178,0.1961
2,0,0.4159,0.7272,0.2839,0.2307,0.1941,0.7926,0.5742,0.9565,0.5462,0.1918
2,1,0.4307,0.72,0.2544,0.2289,0.1784,0.7962,0.5657,0.9692,0.5897,0.1622
2,2,0.4505,0.7343,0.3573,0.2815,0.2555,0.7977,0.6031,0.9438,0.5602,0.2623
