,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3117,0.6294,0.0,0.0,0.0,0.7966,0.5,1.0,0.0,0.0
0,1,0.3489,0.6524,0.2284,0.1797,0.1461,0.7943,0.5543,0.9589,0.4819,0.1497
0,2,0.3509,0.6827,0.209,0.1596,0.1279,0.7914,0.5472,0.9589,0.4571,0.1355
1,0,0.3081,0.6232,0.0,0.0,0.0,0.7966,0.5,1.0,0.0,0.0
1,1,0.3421,0.6397,0.2246,0.1648,0.1368,0.7897,0.5514,0.9532,0.4494,0.1497
1,2,0.366,0.6893,0.245,0.185,0.1559,0.7926,0.5591,0.9528,0.4722,0.1654
2,0,0.3024,0.623,0.0,0.0,0.0,0.7966,0.5,1.0,0.0,0.0
2,1,0.3411,0.6403,0.1829,0.1587,0.1163,0.7959,0.5414,0.9706,0.4934,0.1123
2,2,0.3497,0.6774,0.2249,0.1607,0.1348,0.788,0.5509,0.9507,0.4391,0.1512
