,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.335,0.6347,0.1742,0.1784,0.1191,0.7982,0.5415,0.9803,0.5772,0.1026
0,1,0.3168,0.6141,0.1102,0.1417,0.075,0.7967,0.525,0.9894,0.6,0.0607
0,2,0.3617,0.657,0.2444,0.2044,0.1643,0.7961,0.5609,0.9629,0.5288,0.159
1,0,0.3201,0.6141,0.2044,0.1493,0.12,0.7853,0.5445,0.9561,0.4423,0.1329
1,1,0.3405,0.6399,0.227,0.1875,0.1483,0.7937,0.5546,0.9633,0.5101,0.146
1,2,0.3551,0.6509,0.1923,0.1676,0.1236,0.7934,0.5443,0.9701,0.5093,0.1185
2,0,0.3459,0.6296,0.2007,0.1856,0.135,0.797,0.5482,0.9735,0.5484,0.1228
2,1,0.324,0.6244,0.2294,0.1628,0.1368,0.7844,0.552,0.9493,0.444,0.1546
2,2,0.3237,0.642,0.1498,0.1148,0.0824,0.7856,0.5293,0.9675,0.4228,0.091
