,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.3639,0.6557,0.1333,0.167,0.0927,0.7894,0.5315,0.9888,0.6491,0.0743
0,1,0.3898,0.6952,0.2963,0.2027,0.1835,0.7754,0.574,0.9311,0.4675,0.2169
0,2,0.3999,0.6657,0.205,0.2095,0.1442,0.7929,0.5512,0.9798,0.6289,0.1225
1,0,0.4046,0.7005,0.2575,0.1977,0.1648,0.7828,0.5628,0.953,0.5059,0.1727
1,1,0.391,0.6908,0.2735,0.1766,0.159,0.7697,0.5638,0.9289,0.4381,0.1988
1,2,0.3986,0.6847,0.2052,0.1821,0.1339,0.7863,0.5484,0.9703,0.5431,0.1265
2,0,0.417,0.6978,0.2774,0.2097,0.1797,0.7833,0.5696,0.9485,0.508,0.1908
2,1,0.3803,0.6862,0.2736,0.1867,0.1653,0.7745,0.5655,0.9362,0.4597,0.1948
2,2,0.395,0.6735,0.2186,0.2033,0.149,0.7903,0.5538,0.9731,0.5826,0.1345
