,,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score,Loewe_score
,,AUCPR,AUROC,F1,MCC,Kappa,Accuracy,Balanced_Accuracy,Specificity,Precision,Recall
repeat,fold,,,,,,,,,,
0,0,0.4143,0.5875,0.4025,0.1186,0.1186,0.615,0.5588,0.7211,0.4086,0.3966
0,1,0.4031,0.5763,0.3109,0.1112,0.1029,0.6509,0.5455,0.8501,0.4385,0.2409
0,2,0.409,0.5739,0.1795,0.1185,0.0787,0.6778,0.5313,0.9548,0.5367,0.1077
0,3,0.4047,0.5806,0.3058,0.1206,0.1095,0.6576,0.5478,0.865,0.4537,0.2306
0,4,0.4346,0.5929,0.2658,0.1479,0.1194,0.6781,0.5496,0.921,0.5228,0.1782
1,0,0.4331,0.5898,0.4154,0.1175,0.1174,0.6048,0.5597,0.6901,0.4023,0.4293
1,1,0.4015,0.5758,0.3624,0.1171,0.1147,0.6356,0.5536,0.7906,0.4236,0.3167
1,2,0.413,0.5738,0.2462,0.1224,0.0983,0.671,0.5407,0.9172,0.4908,0.1643
1,3,0.4084,0.5813,0.2749,0.1103,0.096,0.66,0.541,0.885,0.4542,0.1971
1,4,0.4451,0.5982,0.2568,0.149,0.1176,0.6797,0.5485,0.9277,0.5322,0.1692
2,0,0.4102,0.5837,0.3853,0.1034,0.1032,0.6127,0.5506,0.7301,0.4005,0.3712
2,1,0.4004,0.5746,0.3128,0.1074,0.1001,0.6481,0.5445,0.8439,0.4327,0.245
2,2,0.4066,0.5724,0.2739,0.1196,0.1026,0.6647,0.5435,0.8937,0.4692,0.1934
2,3,0.399,0.5788,0.355,0.1116,0.109,0.635,0.5507,0.7942,0.4204,0.3073
2,4,0.4516,0.6002,0.0,0.0,-0.0,0.673,0.5,1.0,0.0,0.0
